time,page,sender_name,content,thumbnail,videos,link,kdv,
2024/03/31,TT - Beatvn Viral World,Quang Hiếu,https://drive.google.com/file/d/1W6sXTemOwfxxMxvQjIJHMZcPjtb-mNXM/view?usp=sharing,https://drive.google.com/thumbnail?id=1W6sXTemOwfxxMxvQjIJHMZcPjtb-mNXM,,https://drive.google.com/file/d/1W6sXTemOwfxxMxvQjIJHMZcPjtb-mNXM/view?usp=sharing,Đạt,Duyệt
2024/03/31,TT - BEATVN,Luu Viet Hoang,https://drive.google.com/file/d/1Dgx4I_BOTs15jkHfxNvHhRRzBdZbjep1/view?usp=drive_link,https://drive.google.com/thumbnail?id=1Dgx4I_BOTs15jkHfxNvHhRRzBdZbjep1,,https://drive.google.com/file/d/1Dgx4I_BOTs15jkHfxNvHhRRzBdZbjep1/view?usp=drive_link,Đạt,Duyệt
2024/03/31,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1FzBMRcrZB5sxIeix3Rwr8avKCj1-FK8x/view?usp=drive_link,https://drive.google.com/thumbnail?id=1FzBMRcrZB5sxIeix3Rwr8avKCj1-FK8x,,https://drive.google.com/file/d/1FzBMRcrZB5sxIeix3Rwr8avKCj1-FK8x/view?usp=drive_link,Đạt,Duyệt
2024/03/30,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1V0nuu-sR9WgdPlhoXBUBPzHCvtEqSNKd/view?usp=drive_link,https://drive.google.com/thumbnail?id=1V0nuu-sR9WgdPlhoXBUBPzHCvtEqSNKd,,https://drive.google.com/file/d/1V0nuu-sR9WgdPlhoXBUBPzHCvtEqSNKd/view?usp=drive_link,Bách,Duyệt
2024/03/30,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1OLd1kUFm_6SvIcWxlfkE8EteEMQUnryo/view?usp=drive_link,https://drive.google.com/thumbnail?id=1OLd1kUFm_6SvIcWxlfkE8EteEMQUnryo,,https://drive.google.com/file/d/1OLd1kUFm_6SvIcWxlfkE8EteEMQUnryo/view?usp=drive_link,Bách,Duyệt
2024/03/30,TT - Beatvn Viral World,Quang Hiếu,https://drive.google.com/file/d/1gx08QqaZpy1FJoRe53b8M7bdGGXDqS5_/view?usp=sharing,https://drive.google.com/thumbnail?id=1gx08QqaZpy1FJoRe53b8M7bdGGXDqS5_,,https://drive.google.com/file/d/1gx08QqaZpy1FJoRe53b8M7bdGGXDqS5_/view?usp=sharing,Đạt,Duyệt
2024/03/30,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/1Ayvy9w9Y-50OYbDN4oSFHK-VV1R5cA6K/view?usp=drive_link,https://drive.google.com/thumbnail?id=1Ayvy9w9Y-50OYbDN4oSFHK-VV1R5cA6K,,https://drive.google.com/file/d/1Ayvy9w9Y-50OYbDN4oSFHK-VV1R5cA6K/view?usp=drive_link,Đạt,Duyệt
2024/03/30,TT - SHOWBEAT,Lệ Đỗ,https://drive.google.com/file/d/14DgBkfchOyf9gB0WaWZUjRzp9LTgCmvq/view?usp=drive_link,https://drive.google.com/thumbnail?id=14DgBkfchOyf9gB0WaWZUjRzp9LTgCmvq,,https://drive.google.com/file/d/14DgBkfchOyf9gB0WaWZUjRzp9LTgCmvq/view?usp=drive_link,Đạt,Duyệt
2024/03/29,TT - BEATVN,Luu Viet Hoang,https://drive.google.com/file/d/1C3YLhuTOGyUTLFlWbghT49U0xlrs7LVd/view?usp=drive_link,https://drive.google.com/thumbnail?id=1C3YLhuTOGyUTLFlWbghT49U0xlrs7LVd,,https://drive.google.com/file/d/1C3YLhuTOGyUTLFlWbghT49U0xlrs7LVd/view?usp=drive_link,Đạt,Duyệt
2024/03/29,TT - BEATVN,Khánh Vũ,https://drive.google.com/file/d/1DZVQImYtu6MuYvpFQsXvSrru0xhvoLS_/view?usp=drive_link,https://drive.google.com/thumbnail?id=1DZVQImYtu6MuYvpFQsXvSrru0xhvoLS_,,https://drive.google.com/file/d/1DZVQImYtu6MuYvpFQsXvSrru0xhvoLS_/view?usp=drive_link,Đạt,Duyệt
