time,page,sender_name,content,photos,,videos,link,kdv,,,
2024/03/28,FP – Beatvn,Hồng Quân,"BIẾN ĐỘNG THỊ TRƯỜNG KHOAI SẮN😆  Mới đây, qua kiểm tra 2 khách sạn,  công an TP.HCM đã phát hiện 4 cặp nam nữ đang mua bán diêm ngoài ra còn tàng trữ mai thúy.  Mở rộng điều tra, cơ quan công an còn phát hiện một nhà hàng với khoảng 100 nữ tiếp viên túc trực để ""bán cám chim"" cho khách nước ngoài.   Ngoài ra, nhà hàng có sẵn nhiều ""bag boy"" trẻ đẹp chuyên phụ vụ ""nước nôi"" cho những phụ nữ lớn tuổi và những quý bà ở độ tuổi tiền mãn kinh.  Sự kiện trên đã gây chấn động thị trường khoai sắn, sự thiếu hụt trầm trọng khoai ngon đã ảnh hưởng đến việc thỏa mãn nhu cầu tưới tiêu của những chiếc ""máy bay"" đã niên hạn sử dụng.   -Nhà Thơ Đi Exciter- #Beatvn",,,,,Bách,Duyệt,,
2024/03/28,FP – Beatvn,Hồng Quân,"mới đây, qua kiểm tra 2 khách sạn,  công an TP.HCM đã phát hiện 4 cặp nam nữ đang mua bán diêm ngoài ra còn tàng trữ mai thúy.  Mở rộng điều tra, cơ quan công an còn phát hiện một nhà hàng với khoảng 100 nữ tiếp viên túc trực để ""bán cám chim"" cho khách nước ngoài.   Ngoài ra, nhà hàng có sẵn nhiều ""bag boy"" trẻ đẹp chuyên phụ vụ ""nước nôi"" cho những phụ nữ lớn tuổi và những quý bà ở độ tuổi tiền mãn kinh.  Sự kiện trên đã gây chấn động thị trường khoai sắn, sự thiếu hụt trầm trọng khoai ngon đã ảnh hưởng đến việc thỏa mãn nhu cầu tưới tiêu của những chiếc ""máy bay"" đã niên hạn sử dụng.   -Nhà Thơ Đi Exciter- #Beatvn",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431790622_1754070235082460_5968825002464621229_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFJmCpIo0s4LwGgEUUJ6SFJYb3i4cf-dV1hveLhx_51XciCaTisj6wpEdPfl0tUwopO70ufzBSp6lVVxa7EfPPz&_nc_ohc=U4tEyMm5SMoAX8runq2&_nc_ht=scontent.fhan2-3.fna&oh=03_AdT1M-5mUmpxjaeAfCnRak5-AzS1emWvmxTfCtH6zxqC3w&oe=6632008A ,,,,Bách,Duyệt,,
2024/03/28,FP – Beatvn,Nguyễn Tuấn Thịnh, ,https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/434160188_2102091493522878_8418214565942305623_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG7Vfq1fttW3ef27ZeVIqPuJCZpBcDp6WAkJmkFwOnpYKRCoEbeluOaoowsckUo323zzVFju4Laxyf75xmKigc2&_nc_ohc=fVBXvJGCkmAAX9z8jyB&_nc_ht=scontent.fhan2-3.fna&oh=03_AdQy0eFWC-qIqfqAMvT5lVxM443fIwpxCUkWnTSU0MgWJQ&oe=6631F876 ,,,,Đạt,Duyệt,,
2024/03/28,FP – Beatvn,Nguyễn Huyền,Ối cô dâu ơi có cái kiềng bị gẫy kìaaaa 🥹🥹  Ai cất cho cô dâu vớiiiiiii 😘  #beatvn,https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/434108310_1729452507578115_2907612842787401838_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHhUnbl0UowBJF6rL5EUukzPd7TKcwG-oM93tMpzAb6g3J-Iq8n38gum6ufHmLVZcRZ2th_hDEqPLSWPQCmmVjH&_nc_ohc=M11BVm1XVFsAX94-6ZJ&_nc_ht=scontent.fhan20-1.fna&oh=03_AdT5XV1ZCdAf5geF4GvP3GYiDb2cACgog4ngYzj80VD-fw&oe=6631D037 ,,,,Đạt,Duyệt,,
2024/03/28,FP – Beatvn,Nguyễn Bảo Trung,Lúc gặp thì ôm hôn cười cười nói nói. Lúc về thầy Park làm ngay tâm thư gửi zai Thái Bình 🐧  #Beatvn #News,https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/434015155_942145227206800_6318085837737159602_n.png?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFE_ZmMewuSDEzNs8sDA4ej_UnzP29dmVz9SfM_b12ZXP5sie8VwEYFAOoCteFYGJYagnlSBiAT0V5iE-7U-rFQ&_nc_ohc=br1GWXZg4rYAX-OGqRD&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRVkp4QQqetjXwkyWVqoCSKxiCjRehcaVw6F6_trxFF1w&oe=6631E1E5 ,,,,Đạt,Duyệt,,
2024/03/28,FP – Beatvn,Linh Phương,Trận mưa đá chiều nay ở Sơn La… Mận to quả trên cành nhưng chưa kịp chín. Người nông dân chỉ biết thẫn thờ nhìn mưa 😞  Ảnh: Kenh14 -Panda- #beatvn,"https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/431132881_402281745751247_1437523667149803974_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF1Kmn9TMvWeCOp7vEDQ6jDSNRHMolxpOVI1EcyiXGk5dqjoCqkk5sYorL6Swdcju4PjxLMmUSdly1-xscOqzAd&_nc_ohc=46Y4MNgMe3wAX9jj6Eb&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRVKRNdmy0Seo_Vd58UNFFWjfHH4T3P92wjkxhuSrMkmw&oe=6631EB4C 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/434236113_1830761437432193_311754810823624691_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEGjCFHP2wNBeMWglPyMck1HE0kPc5UK0scTSQ9zlQrSwhNL_4JhZMb7dikdTfW8SbHlyNJs0bUev4GWAXTbPJa&_nc_ohc=cpCGL8PtdMUAX-EYSST&_nc_oc=AdjyeaUbikjjuH8Lq_wUQxudxDbmngYoMYonez01snePPlzXl4YaH4CypWhIN0SabR0&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQ9KC4d9XFSP4FIVTZEfXGILHX1VFIf_uH4valkmCo6cA&oe=6631E546 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/434377989_794725065841897_7109541463742669388_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFSX4xlRQ-GzWm1hROaMTLHv15NWgG1Fwa_Xk1aAbUXBoEBwRE12VHozeYSGjgWjf5aAfC4jncxVcOKzQnC2y79&_nc_ohc=tybGEUuxjKwAX-r4pih&_nc_ht=scontent.fhan2-4.fna&oh=03_AdTDyIM3SAh2CVErfOYRltg7AWaW0ABRwBcpdOD5ZO1u5g&oe=6632004E 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/433454599_2339718662893619_6926917884339816866_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGbDnlzzvEYfwM9EhHCPkkNGGEZbo-MTY0YYRluj4xNjdeZk3Y23BtGf2FRPtLLkdo1oZvPlAbXTxsPMb4ivll2&_nc_ohc=C056bGW_RCoAX-Dd_t-&_nc_ht=scontent.fhan20-1.fna&oh=03_AdTj-fty70NwMYjDvFC1TpCIY6yELB3DEbDHY4lYAIzUzw&oe=6631CCB4 ",,,,Đạt,Duyệt,,
2024/03/28,FP – Beatvn,Hồng Quân,"CHUYỆN NHƯ CHƯA KHÉP LẠI  Tưởng chừng mọi chuyện đã được giải quyết xong xuôi khi mà cô bán phở vẫn ngày ngày bận rộn mang phở ra cho khách còn nam tiktoker vẫn bước tiếp...xin lỗi là lăn bánh về phía trước trên chiếc xe yêu quý của mình. Nhưng không, mới đây Sở TT&TT Hà Nội cho biết đơn vị này đã 3 lần gửi giấy mời nam tiktoker này lên làm việc nhưng anh vẫn từ chối chưa một lần đặt bánh xe đến trụ sở.   Sở cũng cho biết thêm do anh Nội (tên thật của V.M.L) chưa đến làm việc nên kết luận về vi phạm của anh còn quá sớm, tuy nhiên anh đã vi phạm 2/4 quy tắc ứng xử trên mạng do Bộ TT&TT ban hành đó là quy định trách nhiêm tôn trọng và tuân thủ pháp luật, quy tắc về trách nhiệm - chịu trách nhiệm với hành vi ứng xử trên MXH.  Hy vọng anh sẽ sớm làm việc với Cơ quan chức năng vào một ngày ""Hà Nội trời không mưa rả rích"" để giải quyết dứt điểm vụ việc đã xảy ra gần 3 tháng trước.   Và anh hãy yên tâm vì Sở sẽ bảo đảm đầy đủ nước nôi, chủ yếu là nước chè chứ không hề xuất hiện một bát phở nào ở đó cả.  -Nhà Thơ Đi Exciter- #Beatvn",https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431829705_960863205540674_351538817802321926_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHwtXTDDcXCWfBdqNupzNzu6ZyDAGyBTe3pnIMAbIFN7UZtNy0TTnsUhbvkRTKowJnOxzeD-I3UiQu6nPYV_5n0&_nc_ohc=rBNszF3WNjAAX9Pvu0X&_nc_ht=scontent.fhan2-4.fna&oh=03_AdTx4BFzPqgNBAfqBeXHaUJjJpKLTDpuuzmGzWUwngMTqA&oe=6631D467 ,,,,Bách,Duyệt,,
2024/03/28,FP – Beatvn,Nguyễn Tuấn Thịnh,"TIN MỪNG: LẦN ĐẦU TIÊN TP.HCM TRONG 1 TUẦN KHÔNG CÓ CƯỚP GIẬT !!!  Theo các liệu thống kê thì chỉ tính riêng năm 2023, TP.HCM ghi nhận 607 vụ cướp. Tính trung bình ra thì mỗi ngày Thành phố mang tên Bác ghi nhận 1,66 vụ, số vụ mỗi tuần là 11.62.  Tuy nhiên đây chỉ là quá khứ khi mới đây, theo thông báo mới nhất của Phó Giám đốc Công an TPHCM thì ""trong tuần qua, LẦN ĐẦU TIÊN TPHCM TRONG MỘT TUẦN KHÔNG CÓ CƯỚP GIẬT"" !!  Đây quả là 1 điều đáng mừng và mong rằng tình hình trị an của TP.HCM sẽ tiếp tục được cải thiện hơn nữa trong thời gian tới !!",https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/434075083_2703753143107702_7090941130189206951_n.png?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFEecjanIo6uBuIzAI6vQ99eEFSQxJKVI54QVJDEkpUjkt7dlglwrvalpbTyz-NfThVl4knB6el8NHDhcRjm_nP&_nc_ohc=mytX2pKblv0AX9a0HMB&_nc_ht=scontent.fhan20-1.fna&oh=03_AdS1EkB2ztfUMbApiu8ORCWzI4Yij7kL5UbMK3xWmHXG7g&oe=6631CC23 ,,,,Đạt,Duyệt,,
2024/03/28,FP – Beatvn,Hồng Quân,"HẢI PHÒNG LÀ KHÔNG LÒNG VÒNG  Dàn rước dâu chất chơi người dơi của họ nhà trai với dàn xe kéo dài thẳng tắp trên đường Phan Đăng Lưu, Kiến An chiều nay.  Nhiều người ra đường đã phải tấp lề vội vì tưởng đây là đoàn xe tiếp đón nguyên thủ quốc gia nào đó đang đi trên đường.  Chưa biết gia thế chú rể như thế nào nhưng chỉ cần nhìn màn rước dâu hoành tráng thôi cũng đủ để thấy cô dâu đã chọn đúng tấm chồng rồi.  #Beatvn",,,https://video.fhan2-4.fna.fbcdn.net/v/t42.3356-2/434382828_7348501995185843_4509780858117653660_n.mp4?_nc_cat=110&ccb=1-7&_nc_sid=4f86bc&_nc_eui2=AeHMgkeWUVEpCK6mZnGGbkEUaGtqxL_l25xoa2rEv-XbnPC5_H3vQ0E42Z7gFfYvZQJhTggy04BG6qEJbT8MMgLH&_nc_ohc=vyMhli_MHawAX8Wo6Rr&_nc_ht=video.fhan2-4.fna&oh=03_AdTWb-yN1d3N05RKoQosH4MivD1fwtqnjt0FBnBDajdc_Q&oe=660C6704&dl=1 ,,Đạt,Duyệt,,
2024/03/28,FP – Beatvn,Nguyễn Huyền,,https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/429937831_1344882106174292_7417512482554206476_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH-3s5MDWk4rA33Y8g1EjeD0BYQNFLHlg7QFhA0UseWDhy8U4BUOI7sp5P45rShd6TlOvQE527-qMubZcY8Q1Hi&_nc_ohc=KiKXjvgkAAQAX8BjK2N&_nc_ht=scontent.fhan20-1.fna&oh=03_AdTObenoIRd_Gx5F_fsc_hh9NreVq98Uev3rB1KXefb7aA&oe=6631D419 ,,,,Đạt,Duyệt,,
