time,page,sender_name,content,photos,,videos,link,kdv,
2024/03/28,Chuyện của Hà Nội,Khanh Huyen,"Hãy tự đi, tự ăn để trải nghiệm thay vì chỉ đi theo review!  Một quan điểm từ nhà báo Trương Anh Ngọc: Càng nghe theo nhiều review, mình càng nhiễu loạn thông tin, bạn sẽ không còn khái niệm riêng của bản thân mình nữa.  Dùng những phương tiện đó làm tham khảo, chứ đừng bị ảnh hưởng quá nhiều bởi những chia sẻ của người khác, cũng đừng vì một review mà không cho phép mình thử một món ăn, một nơi chốn, một địa điểm. Mình sẽ vô tình đánh mất những trải nghiệm riêng biệt trong cuộc đời.  | Nhà báo Trương Anh Ngọc chia sẻ trong Podcast A Beat of Life ep 10",https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/433064403_401854245786024_5756206094646179423_n.png?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEkhVPi67yqrG1XtmKtr4k28miMxcbF5s_yaIzFxsXmz-vUTmEV007Qcmy7mQdA68Jpi3G3zk91K5CsuId0TJVe&_nc_ohc=wqbuj3eyBrYAX8WIOu9&_nc_ht=scontent.fhan2-5.fna&oh=03_AdQKtJ8d71DhXzSZB12GvHItD1WO6atbrP6LxzfPonYUDw&oe=6631DC74 ,,,,Bách,Duyệt
2024/03/28,Chuyện của Hà Nội,Khanh Huyen,check giup e a,https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/398317723_359402439851076_7899902637517582085_n.png?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEavPp33FZdOGWlACmVkGxyRtIl3b0X90xG0iXdvRf3TKEmWk2QFBLUiEISKXNCe-bt2LEL5425pXQ-nUjpejt3&_nc_ohc=C6oUqjihkIwAX-vlplV&_nc_ht=scontent.fhan20-1.fna&oh=03_AdQl6Oj98mCyn2miRavbxf4Cm5-0xRetpxdPtamL8GE4xQ&oe=6631DD31 ,,,,Bách,Duyệt
2024/03/28,Chuyện của Hà Nội,Khanh Huyen,"| 28 . 03 . 2024 - Nằm nghe mưa |  Mưa đêm mang cho tớ cảm giác kỳ lạ, không phải cảm giác phiền toái khi vừa tan ca thì mưa rào, cũng không hẳn cái cảm giác thích thú man mát khi mưa phùn, mưa đêm là cái cảm giác gì đấy thật khác.  Tớ có thể an tâm cuộn tròn trong chăn ngắm mưa, an tâm nghe tiếng mưa lộp bộp trên hiên nhà, ngửi thấy mùi mưa qua khung cửa nhỏ, thảnh thơi mà nhìn giọt mưa đọng lại trên hành lang ngoài cửa.  Người ta hay bảo mưa đêm làm mình u ám, nhưng tớ mong cậu chẳng phải phiền lòng vì điều gì cả, tớ mong mưa đêm khiến lòng cậu thư giãn và thảnh thơi thôi.  Vì dự báo thời tiết ngày mai có mưa, nhắn cậu đừng quên mang theo ô bên mình.  | Chốn : Đức Nguyễn | Chuyện của Hà Nội group",,,,,Bách,Duyệt
2024/03/28,Chuyện của Hà Nội,Hoang Tuấn Anh,"🎈 Công an Hà Nội đã kiến nghị Bộ Công an đề xuất đưa ""BÓNG CƯỜI"" vào danh sách TIỀN CHẤT MA TÚY",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/433818904_1457514091830206_6790650187418619454_n.png?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGwYF4-2XjgFqa-G7QmsUM987tYSl0u-8vzu1hKXS77y-lvQarETL-81SYpQR3D0mCjiwXQMSp2bTy6rzEOfbck&_nc_ohc=0cJgkdTwyroAX8Cmucd&_nc_ht=scontent.fhan2-3.fna&oh=03_AdShgAPS1Lwdn2wgTDMys0HH5YDccVzP_kTR97ELutPr8w&oe=6631FB1B ,,,,Bách,Duyệt
2024/03/28,Chuyện của Hà Nội,Tuan Dinh Zin,"Mùa đom đóm đã về tại khu rừng Cúc Phương, mang đến một khung cảnh huyền ảo như dải ngân hà rực rỡ giữa lòng thiên nhiên.  Đối với những ai yêu thích khám phá núi rừng, trekking tại vườn quốc gia sẽ là một trải nghiệm khó quên. Hãy thử tưởng tượng cảm giác phiêu lưu khi tự mình tìm đường đi, dựng trại qua đêm trong rừng già, quan sát dấu vết của các loài động vật hoang dã và hòa mình hoàn toàn vào thiên nhiên hoang sơ. Chắc chắn đây sẽ là một hành trình đầy thử thách nhưng cũng vô cùng thú vị, mang đến cho bạn những kỷ niệm khó phai.  📷 Nguyễn Hữu Thông","https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/434111027_962328351568294_7464401552941829358_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFZ2pve-9DdyZpsZ5mbK8soL5MPguRYGksvkw-C5FgaS3PuhEt2MpRXS_WLx5Hgwy4VVoea1yTuumjQToQUzPyK&_nc_ohc=ixBZdjlaTboAX9wassG&_nc_ht=scontent.fhan2-5.fna&oh=03_AdSzbSKz_0WMZQ1nPGVrQeh2_gItRY4GegGPQ_hHZI3euw&oe=6631E891 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/434108313_951145769471244_1692197078468908083_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFbAGn9lfE0WGdl25NmaCPDnkTO1IsVwnKeRM7UixXCch9vyn_jIJhHXhOm1-IEbxFdwj5P3Gjm16Kt76eEjUjy&_nc_ohc=YYFxGsDt42QAX_XYSzP&_nc_ht=scontent.fhan2-3.fna&oh=03_AdSl6fntha4yaO6e2icwHgQjScTmbtRlxu4-IDS5-wG0bA&oe=6631E0B3 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/434148017_1168374677865619_1544549507397522709_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFkYm2WkENlxaBE8UJdmYHwj0SZO2ugcVaPRJk7a6BxVva_kUUHLawkS9gysR0kcp5gEaUfvSBWA_HdCS_pXZnG&_nc_ohc=Z06vO9jZKo8AX_VDvHA&_nc_ht=scontent.fhan2-4.fna&oh=03_AdT6IN_jvwQCe5gBSz1tblwy2JzRwG95ctstd3HHUYcwiA&oe=6631D03A 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/434086513_1140332383771956_866614637296396355_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFhTzbwtqhoXzT5xrktjPnMf4lBpvOG-5x_iUGm84b7nC4u0pP18_n4v0tnpMtUJPMUTsxTH-aFpjy9H6G_casg&_nc_ohc=wD0gwb2fvTkAX97IYOc&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSjxG1yQk9j7-7FNvn0GDEou3tdOyvKia_2ARaCDWHdRA&oe=6632012B 
https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/434078948_7259191770833049_7554331434983808837_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFy8VJ55vy8Ijz6BxRAyYmyfauoSKrl2HN9q6hIquXYc3UFxDOPsjnFwh4xxJOi0tApVStY9ECyyld42gYyTN4v&_nc_ohc=ee2f5dcofW8AX9lGnQM&_nc_ht=scontent.fhan2-5.fna&oh=03_AdSXRiKFVSjSXcnPQU5XbxEvFf75w6zBS5GlKJa6Fai9mQ&oe=6631DE16 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/434108316_964754471929841_8024194020556841600_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFXiNXvBHD05PBaIAPOyuDVjGzPX6SFuaeMbM9fpIW5p2z3qcv39-qkIceRaY5gzHPLpz2i6gJ7HxqaWrpbdhdd&_nc_ohc=ONywDXcMu28AX_z_KqX&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRluueWPkD02Zyni3jOlUsxdUqZjFHxjk5XCbWx_rZ1Cw&oe=6631F8A3 ",,,,Đạt,Duyệt
2024/03/28,Chuyện của Hà Nội,Thao Thu Giap,"1. | 28 . 03 . 2024 - Còn 90 ngày nữa thôi |   Mỗi ngày app đếm ngược đều thông báo thời gian còn lại của chúng mình. Chỉ 90 ngày nữa thôi, kì thi Trung học phổ thông Quốc gia diễn ra rồi đấy.   Đây có lẽ là khoảng thời gian chúng mình nhớ nhất trong cuộc đời. Nắng hè oi ả, chói chang, tiếng ve kêu râm ran, mồ hôi ướt đẫm áo và dường như sự nỗ lực được ấn nút “tăng tốc” bởi chính mình.   Ai cũng phải về đích. Không ai được phép quay đầu.   Và cậu à,  Nếu như có những ngày cậu chỉ được ngủ vài tiếng ít ỏi, sáng soi gương thấy mắt thâm quầng Nếu như có những ngày bố mẹ động vào đúng chỗ cậu đau, làm cậu khóc Nếu như có những ngày cậu thấy mình cố lắm rồi nhưng điểm vẫn chưa như kì vọng Và nếu như có ai rời xa cậu vào khoảng thời gian nhạy cảm này   Cậu ơi, đừng nản chí.  Cánh cổng Đại học mơ ước đang ở phía xa xa kìa.   90 ngày nữa thôi, mong cậu sẽ cố gắng nhiều hơn trong nắng vàng, để đến với những chân trời mênh mang.  2.  Điện thoại tôi có sức hấp dẫn lạ kì   3.  | 28 . 03 . 2024 |  - Vì tối nay trời đẹp nên em quyết định mời anh đi chơi, anh không có quyền từ chối - Đã rõ, thưa cô nương. Đi ăn phở cho ấm cái bụng, lượn quanh quanh tận hưởng tí gió mát, xong đi ăn kem hoặc chè khúc bạch em nhỉ?  - Chuẩn luôn, quá hiểu ý em. Đúng là người em yêu nhất. Thế nên, em xin phép được trả tiền bằng ví của anh, nháaa  Tối nay mát đấy, đi chơi với người thương thôi bạn ơi. Dọc đường nhớ nắm tay nhau để người cô đơn còn ghen tị. Về đến cổng nhà đừng quên thơm nhẹ vào má, rồi mới được chào nhau.   Cứ bên nhau thế, cho đời đáng yêu Cứ thương nhau thế, cho người ta thèm  Yêu đương mùa nào cũng thích!   3.  Để vào đây một việc nhất định bạn phải làm trong năm nay.   4.  | 28 . 03 . 2024 |   - Ơ, sao anh lại muốn đón em tan làm? Rõ là không tiện đường, lại còn cách xa, nếu là em, em chả thèm!  - Ừ thì… anh thích thế. Xe có người ngồi sau đỡ trống hơn, vai có dựa cũng bớt đau hơn, nhìn gương có cái mặt xinh xinh đáng yêu đằng sau cũng thấy vui nữa  - Không biết học ai mà nói chuyện ngọt thế. Nhưng em sẽ đợi anh, nên anh phải đi đường thật cẩn thận  Những ngày tăng ca đến muộn, có người yêu thật là thích. Mệt nhưng chẳng cô đơn.   Mệt nhưng được cùng nhau ăn tối, nghe nhau kể chuyện, nhìn nhau cười, rồi tạm biệt nhau bằng một cái ôm chặt. Thế là đủ rồi.  Đủ hạnh phúc sau một ngày dài.   5.  Một câu nói của mình không bao giờ quên là:   6.",,,,,Đạt,Duyệt
2024/03/28,Chuyện của Hà Nội,Tuan Dinh Zin,"Phó Giám đốc Công an TP Hà Nội Nguyễn Thanh Tùng cho biết, Cơ quan điều tra đang tiến hành xác minh, điều tra, làm rõ vụ án này xem có đồng phạm hay không.  Đặc biệt, Thiếu tướng Nguyễn Thanh Tùng cho biết, liên quan vụ án này, trên mạng xuất hiện nhiều thông tin xấ:u độc, đưa tin không chính xác, chẳng hạn như đưa tin hai anh em Minh đ.ánh cháu Đ. chứ không phải mình Minh đ.ánh, hay đưa tin bố đẻ hai cháu Minh và K đứng ngoài cổ vũ hai con đ.ánh cháu Đ…  “Đây là những thông tin xấu độc. Bởi vì cơ quan điều tra vào cuộc là phải xác minh, điều tra, bắt người phải có căn cứ, phải xem xét tổng thể xem có yếu tố đồng phạm hay không... chứ không thể áp đặt chủ quan.  Hiện nay, CATP Hà Nội đã giao các đơn vị chức năng để truy bằng được những kẻ tung tin này để xử lý nghiêm theo quy định pháp luật, không để những thông tin x.ấu độc, suy diễn này lan truyền” – Thiếu tướng Nguyễn Thanh Tùng nói.  Theo An ninh thủ đô",,,,,Đạt,Duyệt
2024/03/28,Chuyện của Hà Nội,Tuan Dinh Zin,"🚨Cơ quan điều tra đang tiến hành xác minh, điều tra, làm rõ vụ đ.ánh nam sinh lớp 8 ở quận Long Biên xem có đồng phạm hay không",,,,,Đạt,Duyệt
2024/03/28,Chuyện của Hà Nội,Tuan Dinh Zin,"Chiều 28/3, thiếu tướng Nguyễn Thanh Tùng, Phó giám đốc Công an TP.Hà Nội, đã có thông tin về vụ việc khách hàng bỗng dưng mất 58 tỉ tại Ngân hàng TMCP Hàng Hải Việt Nam (MSB).  Cơ quan an ninh điều tra Công an TP.Hà Nội đã tiếp nhận tin báo của Ngân hàng MSB về việc phát hiện bà Bùi Thị Hoài Anh (40 tuổi, ở Q.Long Biên), Giám đốc Ngân hàng MSB chi nhánh Thanh Xuân, có dấu hiệu lừa đảo chiếm đoạt tài sản của khách hàng.  Căn cứ kết quả điều tra, ngày 18.10.2023, cơ quan điều tra đã khởi tố vụ án, bắt tạm giam bà Bùi Thị Hoài Anh. Bước đầu xác định bà Anh đã lừa đảo, chiếm đoạt tài sản của 8 bị hại với số tiền 338 tỉ đồng.  ""Hiện công an đã áp dụng các biện pháp thu hồi tài sản để trả cho bị hại. Bước đầu xác định không có đồng phạm và công an đang xác định tiếp"", ông Tùng nói.  Theo Thanh niên",https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/434049097_1111568863444556_2789926394158042939_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHhzKuhhv9ATb0A6mWsXZgAaphRQWWS93BqmFFBZZL3cGk7US_10Ubqk_flJKp6nolLsNJ6HIE4g-coe6FlYdHI&_nc_ohc=gwHpoQkWwZ8AX-KXJWc&_nc_ht=scontent.fhan2-5.fna&oh=03_AdS4un6vS1WXW5IcRiAYk-fXRvnOZpm-y3XbaNHsju5kwA&oe=6631CBC8 ,,,,Bách,Duyệt
2024/03/28,Chuyện của Hà Nội,Thao Thu Giap,Thứ tôi sợ không phải là đèn đỏ. Thứ tôi sợ là đèn chờ chuyển kiếp ở Lê Văn Lương 🤡,https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/433435453_943603540325186_7505576290511255818_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH9pxchMWJW0eKhrKZIIHRRhQPncQNuXs2FA-dxA25ezUlh4Hr8h8C5kC5Midz6Mvensjb4Asg-8WO5C-IVcLDB&_nc_ohc=_7RKceTfjb8AX_KNECT&_nc_ht=scontent.fhan2-5.fna&oh=03_AdQmAaGSb-R-GsQ8UQHW0HriKBd4qO07t-EE6cXsDrWszw&oe=6631D409 ,,,,Đạt,Duyệt
