time,page,sender_name,content,photos,,videos,link,kdv,,,
2024/03/26,FP - Chuyển động Showbiz,Thuỳ Linh,"Văn Toàn: ""Không thể tin thua đậm trên sân nhà thế này, Quang Hải có lẽ rất thất vọng vì không được vào sân""  Nói về việc Quang Hải đang có phong độ rất cao nhưng HLV Troussier nhất quyết không sử dụng cầu thủ quê Đông Anh vào sân dù đội tuyển bị dẫn trước tới 2 bàn, Văn Toàn nhận định: ""Em nghĩ mỗi HLV có triết lý khác nhau. Quang Hải rất xuất sắc, không được thi đấu, cậu ấy có lẽ thất vọng rất nhiều"".",https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434283483_769872401763630_5230417644063365010_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHDf2_d2elIfVBKR17brmKk3tGdcD_me3ze0Z1wP-Z7fPwCzPBSDCIcf_LTAL71grAdwvMxNLhvzJjRzbX9o5Pg&_nc_ohc=NZaOFzTbNjYAX-pb4jT&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRWu8WPvVB79F_-2p5eUK7FHfbFk89JSQXoRx7IexHX3Q&oe=662DF86E ,,,,Đạt,Duyệt,,
2024/03/26,FP - Chuyển động Showbiz,Thuỳ Linh,"Hòa Minzy, vợ Bùi Tiến Dũng nổi bật trên khán đài SVĐ Mỹ Đình cổ vũ tuyển Việt Nam đấu Indonesia 🇻🇳🇻🇳🇻🇳","https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/434269532_2223288441351877_780418225403148867_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFfjupg3gro1BXQ0zw4kqeS3glXtZJ3mafeCVe1kneZp4OZIsydwx13zyjivUriWvBa5TS9PpYHyA2XgEQwkYpq&_nc_ohc=al4I11mr3UcAX8RGlZ5&_nc_oc=Adiqic7X3LYXjGXJevG1jBsNNABV6hPTBM5gvWpCw6zzr3a58BHz_Hg3Jq8lzRjrN8E&_nc_ht=scontent.fhan14-2.fna&oh=03_AdTmoyFOItM_OdmlXthxSVeXlyNa_tCrp8I_QWH7aCijTA&oe=662DE632 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434386849_764331542291275_8846392101210116016_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG45vY5nsG_CtOdkJ2GqCiQaP4h2FimpOto_iHYWKak671dqsfZEnTdxKQd4U7j47j63KvUSWWq2os4pHgEnThB&_nc_ohc=xrf5DPAlwVMAX-WG_Lt&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQrBCMhBmEFkVW0tIc1bGglFP4QlsgNCf-XapEtI7toFg&oe=662DF2FA 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434171561_794378912544991_4203794649885345182_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFlgW0S-6oj380LYV26beue7YvpfqKExJ7ti-l-ooTEngbSSr0jqIBf0-fM6UbLZz-kAa-QdrHtJTEJZUL3v0P-&_nc_ohc=WCMuTC9t5O0AX_9a7xk&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRJZPKEOqHYTTpP90678mgvjIYFIqUP__CvEqvKnzCozw&oe=662DD905 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432423204_437202588984581_4190445032699879064_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE1RonTxAwLOn8909N9ub1JA4vsXagXwhYDi-xdqBfCFg3MHuuy8hK0-WRBlRHyazXBeE-_MdniLGvum44tiMn2&_nc_ohc=xE3GkuJthEAAX-UL4yB&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQEUAH_8ntFlIdSyNl65sDpkvj4eVkgGAK-PeBNrDWC_g&oe=662DF976 ",,,,Đạt,Duyệt,,
2024/03/26,FP - Chuyển động Showbiz,Thuỳ Linh,Nhan sắc tình mới của Thiều Bảo Trâm cứ phải gọi là đẹp trai như tài tử 😍 Ăn đứt cả tình cũ 7 năm 👍,"https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433497322_954653029374934_5520219799713023550_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG_tEwILF9NYZ5UxTlF-pttT6ez6uuIh5NPp7Pq64iHk7jLJRFu06LUd4LD23Wt7CuS1fSWsi-M8Lq56lXt9BG8&_nc_ohc=Vpox8T7eGt4AX9Cwr9d&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSnRD5zlqp1ANGmUy2xzP_PYjSD2xg-ba-PT4vJQ5SInQ&oe=662DDC48 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433373820_820894739865294_2443580321487653363_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHacgKJvxv-XqXkaJw0xUWTf2Xn_Ll8VOF_Zef8uXxU4SkUw1SazVR8LW9lD2EzpiD0PBTC7EUstzwKS-d783ES&_nc_ohc=TaRwHY7xy_YAX_89P6C&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTxlUr8hNNAkb5L9JVfAmz0ah7O1exOUvYHOsMBqVQ5LA&oe=662DF341 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433416377_430895746161098_262515960416112985_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEAwDCa-xh8_zmRwD5Qqt4QVz1Bp9SMyYdXPUGn1IzJhycfw6tj4WF8fJHido31luqfbJxxx6MQVtBeTSAzZbLK&_nc_ohc=IEfqkZo8Fj4AX8B4okp&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQesp4smUk_AuANcIs3ih06dkexUJYqGid-Jx5X-iJ2iA&oe=662DF00A 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432447396_706836651527142_1432521700363976678_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEd3Hh9O6-reJAMpnP_3JPVoQwZHnZ05vyhDBkednTm_L_kAD00gG3aqzxGpLhPgWgpP9_A2cgYbtXudNzoCtAq&_nc_ohc=56u2qpM3VXkAX_Vl6ZC&_nc_ht=scontent.fhan14-5.fna&oh=03_AdRIqhLTgxxKD-HlUJEWfHpiMudXJWzTBnJHMo2_7gf_Yg&oe=662DCD97 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433377896_948921523218075_8759040407153710547_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEoX2gOH1EbI_BlisU6lp5G2pmbnF-i75ramZucX6Lvmn3o4SFqo-x4iQc4O-O-FXKsds-lf1nODOOHZnL0Pv4t&_nc_ohc=GjJmisCzGPEAX-HYW6Z&_nc_ht=scontent.fhan14-5.fna&oh=03_AdTcKHCEbV56Q2ikph--WzjLzpDDCi4OK9RRxwNBuk_K9A&oe=662DF19F ",,,,Đạt,Duyệt,,
2024/03/25,FP - Chuyển động Showbiz,Thuỳ Linh,BB Trần - Khắc tinh của các cô dâu 🤣,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433472216_395253083362519_6925106511301645377_n.png?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHXJQL6Ot765ivitapny_C7-Ow0lmKURi747DSWYpRGLoBgmzaDI-TuCw19ekGYX5-Ib0qSX47kVvf9w56V2V6Y&_nc_ohc=jxd-UP-vhK4AX-uP48p&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTwvI_cgtdm3P7YSL98rWA5CJNmyoUn-WotGwI3zvY5zw&oe=662DF254 ,,,,Đạt,Duyệt,,
2024/03/25,FP - Chuyển động Showbiz,Thuỳ Linh,"Bi Rain Việt Nam tung bộ ảnh thanh xuân năm 21 tuổi làm điêu đứng bao fan girl từ già tới trẻ 🔥 cùng dòng caption: ""Bát boy mùa hè 1992 tại Vũng tàu… Tánh thì thích làm người mẫu nhưng cuộc đời lại bố trí cho làm ca sỹ! Đón nhận vậy! Làm ca sỹ trước, nổi tiếng rồi xin làm người 1 mẫu sau…""","https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/432721144_1465965284269416_5376400075799989248_n.png?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHOfeiVAVRiBdh5iUAX6LMiH3EAjbD2NjIfcQCNsPY2Mvfo7UeyrLrNdUX0E5ZLAb9s1USzYlw9ZZeqESNUMnAa&_nc_ohc=sxcsjjkvh5MAX8S5u1S&_nc_ht=scontent.fhan14-1.fna&oh=03_AdS3H14b5hRRN3COENGhatdx9kvmcRylVI6IHyx1OpcFZQ&oe=662DEDFC 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433343795_1090793208871428_899997455238834102_n.png?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFI2-WfdLf7xcjjuzvSqJLD4CoMmKuMYtTgKgyYq4xi1ClPhO4ABaEh1Y35Er6AOa-CXsAt7yjOjOFho50FHtsB&_nc_ohc=EQGPTVkmr9YAX_VgMaB&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSkpAQh9FCouIkaUnbPtAebUYUGrqgQnjZAJU6gLsZzAA&oe=662DF059 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/431295675_2165579443792999_710300383005478633_n.png?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFNepPGkRuBRmarLaLwBx1s2L_HgVRRaLPYv8eBVFFos3IzVN7MLzWp4n_lfnKcVlALYVfLbfOsRM5zmnSUoxTQ&_nc_ohc=BYNl0Bhagp4AX9iEsLA&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRe5gW3-iDlnkShvhER5a_lXLyTvImN6EPawA6nWcNr-A&oe=662DDB64 ",,,,Đạt,Duyệt,,
2024/03/25,FP - Chuyển động Showbiz,Thuỳ Linh,"❤️HIEUTHUHAI BỊ BẮT GẶP CÙNG BẠN GÁI DẠO TRUNG TÂM THƯƠNG MẠI   Mới đây, ""Team qua đường"" đã tóm dính khoảnh khắc Mỹ Hàn và HIEUTHUHAI cùng đi mua đồ nội thất ở một trung tâm thương mại. Dù cả hai đều đeo khẩu trang, đội nón để che chắn cẩn thận nhưng đa phần netizen đều nhận ra vì vóc dáng nổi bật. Đặc biệt, trang phục của chàng trai trong clip hoàn toàn trùng khớp với ảnh check in đi dạo phố được HIEUTHUHAI đăng tải. Cô gái bên cạnh cũng có phong cách ăn diện, kiểu tóc và chiều cao hao hao với Tăng Mỹ Hàn.  Đáng nói, cả hai vẫn giữ khoảng cách ở nơi công cộng, không có cử chỉ thân mật như các cặp đôi khi hẹn hò để tránh gây sự chú ý. Đây cũng là lần hiếm hoi HIEUTHUHAI và ""Baby Boo"" bị bắt gặp bên ngoài như thế này.  Họ công khai nhưng tôi là người rung động 🥰","https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432593568_1456842561605101_5959995721614861476_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEGLD4gTWDPKKqvHbzF8hTyZ8S_mjYf1eJnxL-aNh_V4kXzJYsbLcf86tfxqpWWVWykdxqeT7S6FMzwEBR4_bye&_nc_ohc=AsN39Jc3xVoAX81hiGW&_nc_ht=scontent.fhan14-5.fna&oh=03_AdRAXk-lxyeAwiNWKn3LErxFsMGl0BPbw6_L9oZt76vQRg&oe=662DD202 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432376040_944130547111446_593979968210828377_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHMkZBQDZEDCDfwM2TMYIWqVk1P0E-P1hBWTU_QT4_WEMgdhZ0zn8mWlreDx6tj_u_tyteVWXwUTsmJSG80VvOt&_nc_ohc=boepbFk9aeQAX9se7gB&_nc_ht=scontent.fhan14-5.fna&oh=03_AdSi2oAv8v20qWuc2Qjl9YlJXCSljv_HthjVMU82Xq95bw&oe=662DD031 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/432504433_7352533501496101_2314338312244874728_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGvsRQ3bFIriXgqGh7NixixfEnSX3bCRr58SdJfdsJGvgUab_K6oRHFucBYsEl1Dg8PNku0ahUdRz_MaenpPv5I&_nc_ohc=D__qZmRZ0o4AX8Qj3gL&_nc_ht=scontent.fhan14-2.fna&oh=03_AdTyPRaGbzilvHc6gWrXFfNgdmrrxp6AwHvwr1Nyg6QUCA&oe=662DE6EA 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/432561775_369700276055759_1251671101231087007_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEgadDnW6A0W6g4Rttgr4HuxSZTrYo_MUDFJlOtij8xQCvWATf2IAvzZHSLbc-Py-ewADiOvUt3fOFgVrhl-6o7&_nc_ohc=TKI0VZFZ3f0AX97R23t&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQm4PkWAxHc_hfEQwksqGUYclud9MUK78bGWuF_Y0wUkw&oe=662DD410 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432427837_379790938223835_6327851509533199103_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE1fxCgiPigSRjcXd70hx4ZE27TOrhSFU0TbtM6uFIVTdvu21W1wJ9R9JNWaeihI6WKbGiu8WERPRg8n5Na5h_1&_nc_ohc=GzARcfwEdkIAX9bfNSi&_nc_ht=scontent.fhan14-5.fna&oh=03_AdTOgIuKpcwk6EHo6XIfggfdGEIx4a7imLCYpMFMCN_jKw&oe=662DDBC7 ",,,,Đạt,Duyệt,,
2024/03/24,FP - Chuyển động Showbiz,Thuỳ Linh,"Mẹ bầu Doãn Hải My tiếp tục khoe nhan sắc khi mang thai vẫn rạng ngời như thường ngày, xứng danh Top 10 Hoa hậu Việt Nam 🫶","https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/431394206_395532016523740_6431204722221227284_n.png?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH0eJTJGMXfMakre70xgSfmRmguHZn1fAhGaC4dmfV8CBO3JkC5qPULlthY8kzPDT_fFxaa3JHzhMko0DJrk3Oc&_nc_ohc=6gyJb4rBcm8AX_HAS-G&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSEj6diIRE1DMAP2WOVXzIv6IdMz_SeiIBSh28bJg4VRA&oe=662DE988 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433659946_736730218649345_2962285988204858642_n.png?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHx1bxRW_q1lcZvPNA1tLjs1916EEZDPXDX3XoQRkM9cJNhJfrzOUUIPltiskshyDH2nWlP7sY1kQX7f5923QAI&_nc_ohc=EyYz1oLsboMAX8zJGyC&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTYDZYb8sK4h-hbjSL7PdM1oWk1cQzuWkeVUtR4IOhrsA&oe=662DE416 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433493311_947246856755289_8331177938848691128_n.png?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEKQN6B3_XArHkRcc7LsS_q2VkzTPnaAETZWTNM-doARPG_8dZBdQXmLS6I6vimvO4Vk2nBFJuWjBlqjfWuVruX&_nc_ohc=HJ4BXqpFx1kAX_CeWeJ&_nc_oc=Adhoiq-R5ZASgYFbjgRhfaGsuk5e6wAaTJwsG8e79tvGWMSMNVK97WzuEKycfyeg_Xk&_nc_ht=scontent.fhan14-2.fna&oh=03_AdRf2W4BP7xML4s8SuOW-kHNcp5j1M1mfJV3T94qnagnig&oe=662DDCE6 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/431326537_1584275338781686_3669136639574532901_n.png?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH6nKALkYgr22pzuLo8nxtuzK4fNWOOZQXMrh81Y45lBXYh3g0fUX3VyBiMhu-NWrDv_kOTF0gVvuemVZKI4ZAJ&_nc_ohc=nBw8AvQY0JsAX9Z468c&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRXTImU-IhMR7shxW8-f9DT1oWeQnaDlDJ6sg_z0iP4Ag&oe=662DE4A2 ",,,,Bách,Duyệt,,
2024/03/24,FP - Chuyển động Showbiz,Thuỳ Linh,"Hồ Ngọc Hà hé lộ thiệp cưới đặc biệt của Minh Tú và chồng Tây, thiệp này sau khi dự có thể xé nhỏ, gieo xuống đất có thể nảy mầm 🌱  Minh Tú và Chris sẽ tổ chức lễ cưới ở TP.HCM vào hôm 13/4 tới. Hiện tại, cặp đôi đang bước vào công đoạn phát thiệp mời đến những bạn bè thân thiết, dự sẽ có dàn sao khủng đổ bộ.","https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432436233_957598419047595_504472062436152071_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGDLYWAQ4I2DWC474DwkkQVeNwLRQpzLnx43AtFCnMufO2pW7X2JwpTswGkwmkvkWLNjJy8QvuY0sGTk3REtmcu&_nc_ohc=fyUfAWX0h-UAX-h97BK&_nc_ht=scontent.fhan14-5.fna&oh=03_AdSLbL-2cvDJnRGjvS-KzG9EjbgwwqRP-YetomP-7dQspQ&oe=662DC4E3 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/432543900_406088145471489_8284765979360785508_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFOvtUZ14EHWGzlu3j7CHXyLVO_jKZK1rQtU7-MpkrWtFuHFb9Hz7G3CNLpyPA1J4Nx38dA5WVvJhkQHpENw5Im&_nc_ohc=AZkibUDEf6gAX-R3Wsn&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTZjJMqUZEbttgZJwjXJTig0jgQ1QHzBMqfE6vR5g0e_Q&oe=662DDC27 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432421055_783076930397123_4232882412933046209_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHrSUlws88Ya_S6EBc-eeUATmTX9EfXFzdOZNf0R9cXN2LWOPPSdZY9GjbgngORQq9Y5B3eHC6aN93IRlQT3oTK&_nc_ohc=ySaiAGl5EYsAX8ZIpTm&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQjz-dzqKmNN9JoyBMkqPxZ5flw8Wr0KPDtfpuMuX_S8w&oe=662DD2E3 ",,,,Đạt,Duyệt,,
2024/03/23,FP - Chuyển động Showbiz,Thuỳ Linh,"Hải Tú công khai cổ vũ Sơn Tùng cực cuồng nhiệt phía dưới khán đài, nhan sắc xinh đẹp rạng rỡ càng khiến fan của cô talent tăng hơn nữa.    Có vẻ sau khi quay lại showbiz Hải Tú đã tự tin tương tác với Sơn Tùng hơn mà không sợ gièm pha của dư luận nữa, dù sao thì cũng chỉ là nhân viên công ty ủng hộ Sếp thôi mà đúng không? <3","https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/431265843_7543018565754602_546190090643564262_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGubkrLbiaFmqJGcia6JiGfa0sEpoG6eO5rSwSmgbp47l52zDg48_WTNrRGar7gE1azQ--18f1Iew_OScSIhwpW&_nc_ohc=83g2N3xFYSkAX_XUxyJ&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQjRGX4Kj2jC5TaPxNuojDZ171a0TfNxjBFItaYK8efaQ&oe=662DF773 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433727125_785058676379769_3374330391147806024_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG-eT8EAkfUn3CmiCxHffWEQAUWpDOEdPpABRakM4R0-unwcz5q9YsK1uzaItttH-Tmnzr3oKv4qp5Dgg17b919&_nc_ohc=hynv1iSG8HYAX8fDtf9&_nc_ht=scontent.fhan14-2.fna&oh=03_AdRrYhp-4L7z9mbzLFIi35eq6EbjefCYeAIXODCBPJZ_hA&oe=662DDAEF 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433697810_381774231448836_1485538354208375052_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHlygjBCJDYZE1xX9XUZ7NXgnxK9ozPUNWCfEr2jM9Q1eggoUjZG1kw8tyqsUe3pRvH5oXRB7I6ATWO5Nf5fXm4&_nc_ohc=X4y9OmLlO18AX_4hyjm&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQNRDcsr7bnpCjmV8sPJutT5i1xWrYqwUMWpdef4oVobg&oe=662DE0CF 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/431382710_3733695850233854_4311108240830144620_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE7RZftsHjM_rVg0myQdf9P_al1VNASuTT9qXVU0BK5NIUyLj_FWeF3TYavP8J69gPqB2N_0svRH-EBHqezIicW&_nc_ohc=VS7-a0lHDJsAX-3sMJc&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTL6bct0Z0zcAkpFH7YKUPmabMwdxttXsLv5hduKPNMlg&oe=662DDCB7 ",,,,Bách,Duyệt,,
2024/03/23,FP - Chuyển động Showbiz,Thuỳ Linh,"✨Hyeri lần đầu xuất hiện sau drama với Han So Hee - Ryu Jun Yeol. Vẫn tươi vui nhảy múa với bạn bình thường, mưa nào mà hỏng tạnh, không thằng này thì thằng khác 👏👏  Mạnh mẽ như Hyeri 💪  Ảnh: Kenh14",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/432393001_1106205297376449_859152164593008458_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFB8T2NSOGcle3b5zH775bAO9DbF-6z38g70NsX7rPfyMGvPT0DoMScvh524kUg5pB8etqZ7AWUrPuF2lt17rE3&_nc_ohc=0tzQV8STGdYAX8kedSu&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTivzeiuJHwXSLWbHU61NJmD50UFNOJOYionTo93Hhjvg&oe=662DEF79 ,,,,Bách,Duyệt,,
