time,page,sender_name,content,photos,,videos,link,kdv,,,
2024/03/28,FP - Tám Chuyện Showbiz,Le Ngoc Tuyen,,,,,https://www.facebook.com/tcsbvn/posts/pfbid02tHtJsnsDAqhTtijuZJ9ZtJ4NF2pF3JF8YNfs5xU4c4nxPFpnyATdriVDTZTvdEUJl,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Đào Hửu Nhơn,"Bảo sao nhìn hình đám cưới Phạm Thoại lại cứ thấy quen quen, nhớ là từng thấy hình ảnh này ở đâu rồi 😵‍💫 cho tới khi ghép dính lại với nhau, thì ra không phải hiểu lầm mà là giống y chang “người quen” tổng đài Cô hai báo đây nè 😂   Tưởng đâu đang thi cosplay chương trình “Gương Mặt Thân Quen” không á chèn 😂",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/434334956_355617056822557_6285968079650684244_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEK1K9d0ucrOLWkaCrsbqmzm3XcjH4Y_3mbddyMfhj_eYXtDXe828kUdZq8cvYmAPkiGIkcL9CtI_AV03Hm5JeF&_nc_ohc=v4MMGMpA9McAX9kiFTM&_nc_ht=scontent.fhan14-2.fna&oh=03_AdXWpVv-4CuVMN3rhKJs4nZ_Wz2ZXVjpyxhJXIajwxigIA&oe=66349360 ,,,,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Le Ngoc Tuyen,"SỐC TRƯỚC TIN PHẠM THOẠI LẤY VỢ. LIỆU JENIFER CÓ PHẢI LÀ TRAI THẲNG KÍN⁉️

Mới đây Phạm Thoại thông báo lấy vợ, phần trăm suy đoán thì chắc chắn đây là content. Để chứng minh luận điểm đó Jenifer đã xả thân mình tuyên bố: Nếu Phạm Thoại lấy vợ thật thì mình cũng lấy vợ 🥲",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433766286_7295079993941368_8575482561728356452_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHlsiM7_BF8RO_OrR5T0AwARPyJydN1DNNE_InJ03UM0_9aR1vlkZ_fiugr4LgVXETkkW8QAoH39ZktEzs9VWlf&_nc_ohc=WQChudweTy4AX8xXemH&_nc_ht=scontent.fhan14-1.fna&oh=03_AdUkIdXX7BMleU0qfuc7emFO2nGcuO6QP-aMTLL0oKuCjg&oe=66348977 ,,,,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Le Ngoc Tuyen,THẦY PARK THẤY THƯƠNG DOÃN HẢI MY VÌ PHẢI LO CHO NHÓC NHỎ LẪN NHÓC LỚN 😂  Thầy Park vừa đăng ảnh trên trang cá nhân cùng Văn Hậu và Hải My. Tưởng chừng đó là cái ôm với nhiều tâm sự đầy xúc động tới khi đọc caption mới thấy đúng là xứng đáng ở vị trí làm thầy. Tầm nhìn thật bao quát 😂,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/434023096_950887003217333_8950665479584001448_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHiCd1gNC3kBy5lI7HJnQHn-v26hwiGEmP6_bqHCIYSY54qgaCQVAEYvcX-bR_2j6lkvmIIEbQVSwWRpfSMFoDW&_nc_ohc=MFO5uaE4PDYAX_PgTCc&_nc_ht=scontent.fhan14-1.fna&oh=03_AdU3NGWywjbReHdHqX7_zUpi_jwiN803UIieufLaCBpibQ&oe=663487EE ,,,,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Đào Hửu Nhơn,"Ê khoan đám cưới Quang Hải chắc còn chưa hot bằng chuyện Phạm Thoại gây chấn động cõi ta bà này 🤣 Là sao nữa vậy?   Tin được không? Phạm Thoại lấy nợ đây nè, ý là giờ viết caption mà còn run tay vì sốc tận óc á 🥹 Trôn, trôn Việt Nam nữa phải không anh Thoại ơiiii","https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433739533_337009606034909_8263288312288997887_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE1VEPnbO2KvD64ZZyVOgUfIXDs9h2l0bEhcOz2HaXRsf1jX28ASSpmyl-spSOcI1-YG0dltyeowF0JdumboL-9&_nc_ohc=CB8mRqX7roIAX8_W9m5&_nc_ht=scontent.fhan14-5.fna&oh=03_AdX6zhgGSNUCAz6Yu4-hlhXFvdCci7h1DUDbTZwHsVbXWg&oe=6634A1A4 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433975771_389047244095233_5569184536590989584_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFQpQvCFIblFwz2BVIBVLeGLvhU7YhEeWcu-FTtiER5Z-BBF6LlU1uR8FocuOjMFxKPU_qxgkg_CWIGjS10mn7B&_nc_ohc=2OjoNaR8cuEAX-C65j3&_nc_ht=scontent.fhan14-1.fna&oh=03_AdV54c6RLCV2wmBpjrGykSw9ZGevzcT4S4zhXtF9AnfT3w&oe=6634975B 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/434287665_366258219743363_1239688736362546859_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFcut7JHtMko1NaQqSietY5f3EOVE31AQd_cQ5UTfUBB_IGAglww9G9soNMeWPoGPKo2-Pi3SSPRe322MRI59XS&_nc_ohc=HcSMgxpaXnMAX87SMs1&_nc_ht=scontent.fhan14-1.fna&oh=03_AdW8sc7LMJn-NUv0FH-epDgepO08tiUQdDRlxEYQrtdLEg&oe=6634A8BF 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433917072_926040669223585_5200652710267486122_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGRtyatM21Tv4RNkk7xLAmddUjmsWzQl-Z1SOaxbNCX5nvjN7G2k8qMUN-ZU_lIymqnJT9qHNoHLr487xCMpHtC&_nc_ohc=bcGuGk79yewAX9o17rQ&_nc_ht=scontent.fhan14-1.fna&oh=03_AdW1HH3uvau3aLZRfIDKHFjz84j38s_tyrd6O6ega7doaQ&oe=663494AB ",,,,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Le Ngoc Tuyen,HYERI HIỆN TẠI LÀ VẺ ĐẸP CỦA MỘT CÔ GÁI SAU CHIA TAY 🥰  Hyeri vừa đăng loạt ảnh mới với caption “Mong chờ ngày mai”  Fan khen: Vẻ đẹp của một cô gái sau khi chia tay thật sự khác biệt. Chị tui rực rỡ quá 🔥🔥  Chị đẹp Trang Pháp đã từng nói: “Không có điều gì mà chúng ta phải ở nhà ngồi rơi những giọt lệ cả. Bởi vì đối với chị sau khi chia tay thì mình làm gì? Đó chính là tắt máy và lên đồ” 💅,"https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433738162_1585798538903544_6340279973630751810_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFyqR6KXDRvHn7lDSr_2jLr8HOcG79z4Abwc5wbv3PgBomdSKNmJ4c21NI631J50oC9JfK0pxtscZYMioeQm8Uh&_nc_ohc=B_fFcMO9ahYAX82pCrc&_nc_ht=scontent.fhan14-5.fna&oh=03_AdV72W4w1fQPxrmmiCWxk5zfjJstsWHrJ-rSKireeEmgow&oe=6634823D 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433897781_1074643267098107_8402752874225295881_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGViqr0FojMrDpDxosgiino_xuI8d1jtCz_G4jx3WO0LIzv30sTzR3e3l9Bk684nvZI8jHDNC31T9o5KEEIO-TL&_nc_ohc=_Z_FhILO56UAX-tK1ud&_nc_ht=scontent.fhan14-5.fna&oh=03_AdUuDEAtwl9O2NdEDLUXaj3O4UEo_d5_q3hz4k85QAUouQ&oe=6634ACC8 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433988911_914855106998725_903858677509186455_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHYxaoOv1pJLfumz2rnJIgO55xBw0mbZgjnnEHDSZtmCJDcl8qYTdYiIc3qL_DF2Ok5fcM0GODoFA_y81MmLRE9&_nc_ohc=8Ll67Q9TOuAAX9hCMiJ&_nc_ht=scontent.fhan14-5.fna&oh=03_AdXE0OfJQSX5aIMM-Ns0mr9FMJPadMu3pwSEhgcGUylx3g&oe=66347D8E 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/434073404_26017916947807696_4703241909663702849_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF7fPSXkRwQvJ3kDGwrZdKeuX_QhX53xyy5f9CFfnfHLABKeP5pJEg3dkHot_9Qq9Hc9ukrQAQz8DGdjYuqVgkc&_nc_ohc=MSBOBaI2jkkAX8yrI0P&_nc_ht=scontent.fhan14-4.fna&oh=03_AdX509VQCmyiqwSZLkA-GkaaCyD8LOQDQz_RaRb04jL2RQ&oe=6634A78A 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433690647_817558103729546_2918194320320981143_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFfphAe0U-mUGF4WrOpI91Po7zrCA4WIJejvOsIDhYgl81lo0JDoxae5FY0et6MD2kghU7RKFrhw7njabTWjsLA&_nc_ohc=3opisCTzs0wAX__Ch3y&_nc_ht=scontent.fhan14-2.fna&oh=03_AdX6EdiqR8A2I6g45rlsrY7KtquEYkL6qGlSFf7ETm8C6Q&oe=66347D77 ",,,,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Le Ngoc Tuyen,"THẦY PARK ÔM HỌC TRÒ CƯNG ĐOÀN VĂN HẬU KHI GẶP LẠI TẠI ĐÁM CƯỚI QUANG HẢI   Thầy Park đã đến rất sớm tại đám cưới Quang Hải hôm nay, thầy mừng rỡ khi gặp vợ chồng Đoàn Văn Hậu và nhanh chóng ôm học trò cưng 🥰  Ảnh Kenh14","https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434030799_1099082601346868_3038672429865375014_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGApi6dO3pxJkJfKwRufJ8wkFT6Ayv6lUaQVPoDK_qVRuH7EBVq3ReW1UQJqGYKln9wGgfxrZq45vMSJFU-BO1X&_nc_ohc=UFHd6EV6tqMAX9OhXUH&_nc_ht=scontent.fhan14-3.fna&oh=03_AdW35hIY3bfaD3md6qYeXnlly2gf9KKphdl4hTUYgH6T0w&oe=663495D1 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433799927_1106288580574084_1278511719887692181_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEjkyvq7C9LdbByuYnavynn6ofL4sAxJ3jqh8viwDEneLmxCzLW37fXkm9lhJ3hOi-Sr1WabQrvLR6RqMNL1c2w&_nc_ohc=P_txwGxodh8AX92WATf&_nc_ht=scontent.fhan14-3.fna&oh=03_AdXYrmIr__le8_6pSF3LFtK-HlpfLyMae1slPJoo-jF8cw&oe=66348B66 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433861319_718057203743105_8079852556067028114_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHpOGn3eU5i48TbGTOig9x9H2k96vsClMwfaT3q-wKUzJqTc_7UbPvQ60GAlategG_tubojuRah9Wdlk51g250T&_nc_ohc=nlYdAi7r4MUAX9LT2z1&_nc_ht=scontent.fhan14-2.fna&oh=03_AdVQHeFCigkQz-pxpYF8l78w5RCByDxyDRB2RVBqgpdP3g&oe=66349E6F 
https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/433942232_2672210819627104_4606325913780535364_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEmdPPBOaX8mg7cQpvBuAjJQXddli9t8yRBd12WL23zJGPTvIhKdn4kbD0_VpreRCncsXitfI3ezR6lQGB2U49i&_nc_ohc=Y5eaxuSjDTcAX8owe7y&_nc_ht=scontent.fhan14-4.fna&oh=03_AdVTLV_zmnnamLaeBUgp0T4Kv-VM-Eat6e0GsIDHSld6EA&oe=663484D1 ",,,,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Le Ngoc Tuyen,Đoàn Văn Hậu - Doãn Hải My đã có mặt tại đám cưới Quang Hải 🥰  Đây là lần đầu vợ chồng Văn Hậu xuất hiện sau khi công bố có em bé. Nhan sắc mẹ bầu Doãn Hải My vẫn đẹp như ngày nào 😘,"https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433766291_1993032681125609_653705202501213106_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE1a8hRwJktNx8o4YnaG-T_OD3rkWEy7lY4PeuRYTLuVhleYJ-WgaiZff3xUlt752XaNKudlyWfN2wJ3PEK991l&_nc_ohc=-Pl5ozySrMkAX91nNIw&_nc_ht=scontent.fhan14-3.fna&oh=03_AdVBP1YXulkOQrTefivnt67xqLYA-Wde6XcUkuxln88NYA&oe=66347A1C 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433890503_779596670775378_8569841988342351133_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFIW7lOcPgbrRTNI3v-BYQARSjdgz6WlylFKN2DPpaXKYCuC1OG0SRp1a6CxBFVeZvwW6zrwOsJTF11mgfEoaFI&_nc_ohc=5nRKtpSlIfUAX-PCUp7&_nc_ht=scontent.fhan14-3.fna&oh=03_AdV_L1ECK80gyk3p9eRGFe79dNdNcY28lpfF2QM7EAt0sQ&oe=6634A353 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433890493_1824452174642264_3840703561341910496_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE7z-faAHIkHV-KAzBdnGp9wL2F2El_L2TAvYXYSX8vZH3XMC0-8Ubi4pxKtVdFS_WqP2Abv9DXUiJPIq32Q8Cr&_nc_ohc=HfdgwlhtmoEAX-TDd36&_nc_ht=scontent.fhan14-2.fna&oh=03_AdWzCvVJKjFVkUnA9ZooP-SctennuY6cytzIaj77kiUCsg&oe=663483A0 ",,,,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Le Ngoc Tuyen,"HLV Park Hang-seo đã có mặt tại đám cưới học trò cưng Quang Hải 🥰 Riêng HLV Troussier không tham dự 

Cre on pic","https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433972676_1342573336383365_6464832187033259668_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGEqDFXg_ZJnOSmLUxNzg5MRuW30Fiz8NZG5bfQWLPw1ruKzyUSff67gZfO1vl06uvFXr9JmoDPyLyKGPuS8b7Q&_nc_ohc=kBaiG7mc_doAX9J61V6&_nc_ht=scontent.fhan14-5.fna&oh=03_AdU5ZQdtwq-RznXOTf4p9hk9vso5QhBtEkMwcHTrTSI1-Q&oe=66349A58 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433839100_739905504939151_4729317921736933857_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF3xU9fj9ead8_sfSsokuZzwN3Ihq-h-o_A3ciGr6H6j3iaHVMux9BItkMN5MXBy_MQpkPnT3rxweCp_pNZEX_h&_nc_ohc=o_v950Nbt2QAX8zpjo4&_nc_ht=scontent.fhan14-5.fna&oh=03_AdWWSWyvqQMYu0gbBh3LLfTr2avxAS4eEN718fVxp5BbLw&oe=6634A694 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434111038_751055170486523_8894332722054678665_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGnlv0-AVFeW1jiFYwZPOBZD13SyQzsLtoPXdLJDOwu2vr4SA--lZdLwH1DtiA-vQFWtcBIqZbluZBkdew_Ld3R&_nc_ohc=e8HdJGd_5LEAX-bnM-m&_nc_ht=scontent.fhan14-3.fna&oh=03_AdVGxAdZSGKIpgYn8MDVd0o15dO1UMpWqHwATyzmiuC0Hw&oe=66348B6A ",,,,Đạt,Duyệt,,
2024/03/28,FP - Tám Chuyện Showbiz,Le Ngoc Tuyen,"Từ đơn vị đồng chí Lee Do Hyun gửi tặng trái tim đến các vợ ở nhà 🫶🏻  Ông xã vừa xuất hiện cực nhiệt huyết trong video diễn tập của đơn vị, diện mạo đẹp trai được bảo toàn, năng lượng nhảy múa thì khỏi nói nhập ngũ cũng như ở nhà 😂","https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433665349_334566809595674_7484866491229195627_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFFSIc2AflhVq-RY4kcVb7FrnX2Wu2q_-6udfZa7ar_7pWnIHWnKEr4UGkGM-LfBCaSCgg-ohjZTRHTOCtO1y0S&_nc_ohc=-DlX79To8a8AX-g1f2l&_nc_ht=scontent.fhan14-1.fna&oh=03_AdUVFUpqJzEUf1DlpDewJ0nLpwsxidODQptXb32vJDk4dA&oe=66349F95 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433886709_831158072201452_7059612960630409388_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHiZWuOPNQEzh8LDbRUlVQcVR6rkDFQUh1VHquQMVBSHQPMK9U2jHxQ0d61ideZ2B3-xoi-Gz4YMismpz-s_Fu5&_nc_ohc=K_oZBFvnQUgAX9x1S6j&_nc_ht=scontent.fhan14-3.fna&oh=03_AdUtE4lQV1DdER5aZiv2ee4njnJsfVeSxAlP_2hmQAuqNg&oe=66348C98 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433634160_771804744889410_1513882039914281970_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGMb7pqtDuz_mNndc-gedQxPE7nQR8Bd4A8TudBHwF3gEwIYBzjPZKH1MX_GCxfwCbWJOF8Q2KPYRjY4DivdlS1&_nc_ohc=-I8AjelFSfUAX90uQ4-&_nc_ht=scontent.fhan14-3.fna&oh=03_AdUBpeBMwx36L5SOtuXOskZv80SaTXOI4Nkf2NSpPH5KIw&oe=66347EA1 
https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/434050940_400334836047295_8895728719638232804_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFKeSPQjRY0kxLCq-F52hH_fFQei7_aFFR8VB6Lv9oUVMHksESWwmfGUPrHB3Tba1I4FEkqdKBrspGKBLdn1ot0&_nc_ohc=RvSoNJLqo5YAX_VivgN&_nc_ht=scontent.fhan14-5.fna&oh=03_AdXflBPQ__3Dv2SpGpfWixWH5mWpeFYhh9Lq6H57NeD81Q&oe=66348873 ",,,,Đạt,Duyệt,,
