time,page,sender_name,content,photos,,videos,link,kdv,,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,Tin zuẩn nhé chứ không có Troll Troll vi en,"https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434221164_1476380203263272_537375908201378674_n.png?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGz3m_HskqG2uztIfGwSVSqNbGvpohnGyI1sa-miGcbIr5ZBn8M5-Xosa7SrImkD0zy7QjBNGoD8cwIRnTDjrNU&_nc_ohc=O6uMZLKeVE4AX8b18ZO&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSPQ2TEOoxBbku3gRpr3nkusamoyg9vRIKayOeV97-zAQ&oe=662DE520 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/434321992_357141643984501_7470032223130669615_n.png?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH8bVz7GiXEvxUa5crjJ-c78mU8Na10HRfyZTw1rXQdF9tlqa-uHiw2kLrpigO7pwGdxBOh8KOk6pCweAGFdhqQ&_nc_ohc=KnrgrLPwamsAX8DXyCZ&_nc_ht=scontent.fhan14-2.fna&oh=03_AdRyjp7R6GxKaLhdtv4LUYxnDReut5mvAOn2jkSW4YOwAQ&oe=662DEC20 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/434109687_316036818170545_6654156534271918916_n.png?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGJOZ83tZvwaNpub4ZlmH-kR-LzUTU2EPtH4vNRNTYQ-_HFQFKUmUxaGFT99AIMsCqE-YF2u3F7-ht1sjGtAYwU&_nc_ohc=0Ov8Gow6g3IAX__1QJI&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTKxHNPJ_nsMwXFVBACr4eUmELkId6Qx_OXDAD5GoRHUg&oe=662DD03B 
https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/432857712_982254826663278_3524814549312041211_n.png?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGspJ_qm_uLXXJemKxDdirEjNQ-ZCDRBPGM1D5kINEE8UHhM-cyNP6ROYpIUWNTniHpRzEF9GRBJzuyfzhShnjf&_nc_ohc=pp5KQzJWhBwAX_f1Jcx&_nc_ht=scontent.fhan14-1.fna&oh=03_AdSvYe2IjEFJeyh8fz-anA9LvWfZEbCqQCSnu3FjmeaGPQ&oe=662DCF22 ",,,,Bách,Duyêt,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,https://drive.google.com/file/d/1jHlpYzC7dQHHHzW0802mvZ-efe6XPEZ3/view?usp=sharing,https://drive.google.com/thumbnail?id=1jHlpYzC7dQHHHzW0802mvZ-efe6XPEZ3,,,https://drive.google.com/file/d/1jHlpYzC7dQHHHzW0802mvZ-efe6XPEZ3/view?usp=sharing,Bách,Duyêt,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,Của ít lòng vòng =)))),https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/434170372_1496410894629423_2637457458031694045_n.png?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEtcQHZkUjzlLXu_PeqYNVvY1uLF-vasYNjW4sX69qxg3JnGsQ8tUygNVphAnSUz1SeuYl3nGpglSrzxTzmaOlO&_nc_ohc=fzUkqvwVDZEAX8L2hj7&_nc_ht=scontent.fhan14-5.fna&oh=03_AdRsj_q41n-6sg8Bu-54zd9WgLLCJ8CycVzmYi69yypZCw&oe=662DCDBC ,,,,Bách,Duyêt,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,Gia trưởng mà có người xinh như này thì tôi cũng muốn làm gia trưởng,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/434076301_774118198048661_5315315263378129644_n.png?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEQvV0IFht4kkKC8vCzJ63IPIlmcWMYDnU8iWZxYxgOdZ5x-pzOT3M27H7MvMOnUK4cnvW5gEWOYBUUbdgoHIDh&_nc_ohc=xllH5sGMEKsAX_daxJP&_nc_ht=scontent.fhan14-4.fna&oh=03_AdSRcVu2Oz__zEIB9kceb-PJpg_H_2JRjFEHYY87HwFRbw&oe=662DE3C3 ,,,,Bách,Duyêt,,
2024/03/28,FP – Cao Thủ,Nguyễn Trung Kiên,Trôn trôn vn,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/431764008_1179388356804833_6101347101917845725_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG41KI5-rGRiWPOqThOvqCx3XCjL9lsnQ3dcKMv2WydDbjSEOmAYXtYzI2O_6dqT1cZwSB_aIG8IhWOWCo5uqhl&_nc_ohc=Pr1tbd1VY-cAX9FQ_e4&_nc_ht=scontent.fhan14-1.fna&oh=03_AdS4tM3sJ8q7Q_ctuQOdCScBM1KDYluNloS6v0PqwdQm7g&oe=662DC31D ,,,,Đạt,Duyêt,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,"NGƯỜI NÔNG DÂN ĐÃ KHỔ NAY LẠI CÀNG KHỔ HƠN 😞  Chiều nay tại Sơn La xảy ra 1 cơn mưa đá đã làm rụng rất nhiều mận còn chưa kịp chín. Bà con ở vùng cao đã khổ, bao công lao chăm sóc để gia đình có 1 năm ấm cúng vậy mà :(  Thương người trồng, thương người nông dân. Dự kiến năm nay mận sẽ khá là lên giá","https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/433807168_1151609489275576_6693003103341116139_n.png?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG5g9ZSRYtS3jCYD_AtkKcsmKhrb5xS0jWYqGtvnFLSNVNxyF3Aj3oPqJ2kmEfVFTDpEF2NHGhGr_kp-DfJKrY5&_nc_ohc=KSGr4FrRn7YAX_2SxwW&_nc_ht=scontent.fhan14-4.fna&oh=03_AdTQ5F-8zJRG4OXuP3ad3wrJ3_gq9Ill19rY5D5-WS0C6Q&oe=662DDEAF 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434091101_655355633386079_6062556767155498577_n.png?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEiG13FwYJs69djqUDfpLFZ8nkPsDxLULTyeQ-wPEtQtGuqlH-JpekvYuHNBl7Ngxks8eyF9RYFjmCxFDSBftYp&_nc_ohc=_oNBlw6UbMkAX9PY7Dk&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQtg_J6pyQem9M2kFtagukYZQYLpaG5xl-Shm5Cr347rg&oe=662DE3F2 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434106941_296956156605970_2833588857872170341_n.png?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGzj0a0Re1Y_-kIj5LeyvRJqmXXG3ZV5fiqZdcbdlXl-K3iKKMLgBtk11hIUijm9YOIh2NG7hW1e4rR2p80gqT-&_nc_ohc=6a5RhCJofb0AX9zu3xm&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRptxm82yNuEvLHKM8QGZhad4DsLHYZiz9khVwdHO1X9g&oe=662DEA97 
https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/434142142_1104991474144213_3762957318876761339_n.png?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE9w8Kgh1c7JFOgYPy4zYlctbSpwCXuO5K1tKnAJe47kvxP3kLYMz8OGEPl-CX9mPAzHVFJGIAwSzn2O2Ka83m6&_nc_ohc=VwrUkgW0TlAAX-gS0Is&_nc_ht=scontent.fhan14-2.fna&oh=03_AdRqpoN_50fHaHVznQYtTv2W_FalM2LyKCGjDWmSHfTwTg&oe=662DD66F ",,,,Đạt,Duyêt,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,Team đã xem cả 3 phim 👋,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434115793_2342850365910947_2192671853307876731_n.png?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFA0BeieLQ1s3U--_KP-XzrZFlpdn6GU3hkWWl2foZTeCGt504H74s675BCOxi9DtJqdBxj2prKhLFZlxTPID9-&_nc_ohc=fLXtECao3W0AX9sR1Yv&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTV3SDhXCoJ7oMK994vD2IXCU30rOWYMHfMrMN_dblDng&oe=662DC85A ,,,,Đạt,Duyêt,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,PHẠM THOẠI ĐI LẤY VỢ 😳,"https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/431317388_3702376633412649_3502979889542679924_n.png?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFKi6WGAMo19KeSbD0IKq_Y7nAlYHrxPT_ucCVgevE9P_QHYe42O5a2v_yHq5wZ_2mSJLOJnZ6Y2EPjkuUSVfM3&_nc_ohc=SUKRqzBPHrIAX9qb5T_&_nc_ht=scontent.fhan14-5.fna&oh=03_AdSBEy81FXVtxCs30ER7lxlO7SzZGSPjqTPmhML72KhwDg&oe=662DE37E 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434122074_401998652468247_9020726821367713981_n.png?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG-jSfQSybAIfbxGfRUO6kUcr059k1oaP1yvTn2TWho_VEKWiGdP_MKvRDCQPyALGm3o-SLCQFYwJFxpnDvARKq&_nc_ohc=2jh0IjgupIAAX8NRGpR&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRygfV17h0GcL3w9aqT3wSqDq2D7szV_0rjInRVw4P4IA&oe=662DD1A7 
https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434124515_742364004351787_6192406101219632777_n.png?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEmRTmx7rTHLoTGXJ5kC_3Ehgh4V-J34maGCHhX4nfiZtj7Z4B7Dx4sO7NPc2E1ICwqJaO0AFrBCoDyXEMwIixJ&_nc_ohc=PoXNHUiGw6wAX9uD3cL&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRMuJeiMMUfKU3iJbpAz_ym0tBUTJgkvHL9oZumABDRfg&oe=662DE594 ",,,,Đạt,Duyêt,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,Coach dễ thương quá 🥰,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/434151530_2217219301987835_1605383025948069898_n.png?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF7NoQGPWt2qy_2TBbWx2Xr2njJKbg-tRbaeMkpuD61FsL5EfV_EpsRDHbtE5FUpclkrjH66kZR_aGYPKY_rojj&_nc_ohc=2q_n3Cy8zy4AX_TKvZ3&_nc_ht=scontent.fhan14-4.fna&oh=03_AdRxVJ_y1PQPK9m36DxfGPD_h8OWdkWU1vn03njd9ENSsg&oe=662DE9CE ,,,,Đạt,Duyêt,,
2024/03/28,FP – Cao Thủ,Dũng Nguyễn,Ghế dự bị là chỉ được ngồi xem thôi -_-,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/434134023_731572168965817_2477546690113649359_n.png?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHRc2ftRCW56SzYXu47rbfUGPwjYAqjUuwY_CNgCqNS7AgtpgJGnlmLpfiPkkAm6BEeAsZt4kYKYxQ6O8dMPalf&_nc_ohc=zS7yCQMnLVkAX-Jij30&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQkXfGv3VnLSlHMeCr4EL_GHIXU3YAeE3dic-E0YP_rzQ&oe=662DF414 ,,,,Đạt,Duyêt,,
