time,,sender_name,content,photos,,videos,link,kdv,
2024/03/28,FP - Inside the Box,Nguyễn Đức Trọng,"Những ai không cùng tẩn số và đời sống tinh thẩn giống bạn, họ sẽ tự động tách rời khỏi bạn.  Những ai có cùng tần số và nhận thức về đời sống giống bạn, họ sẽ lần lượt xuất hiện trong cuộc đời bạn một cách tự nhiên nhất và màu nhiệm nhất.  Bạn sẽ thấy sự kỳ diệu giữa các mối nhân duyên"".  Một đoạn trích giải thích cho tất cả những người đến và đi trong đời mình, cả mình trong đời người khác.  Nếu có ai đó đến với mình, mỉm cười với họ, ở đoạn đời này, chúng ta đi cùng.  Khi đã không còn chung lối nữa, chấp nhận để họ ra đi.  Dẫu là tình bạn hay tình yêu, không hợp rồi sẽ tự khắc rời xa.  Không đặt quá nhiều kỳ vọng, không thất vọng quá nhiều, mọi chuyện xảy ra, đều hợp lí theo cách nào đó! | Trích đoạn trong “Người sống cũng cần phải hồi sinh” - Tánh Pháp (Soul) Ảnh: Tuân Nguyễn",https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432806592_942022337456776_7229913781612870011_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGKaLpYVcUrA15EUlnzABBgVyyNQOCMowZXLI1A4IyjBlTOez-TRffV5nA8IaNeNVrBHBi_aazlAI7g5EN5bu8X&_nc_ohc=tUJ3yIJr-HcAX9kQYb-&_nc_ht=scontent.fhan14-5.fna&oh=03_AdREKQaIlVO1oZ6tRs6ORht5aCmJYhwnmoW9IGKeH5wXVA&oe=662DCC53 ,,,,Bách,Duyệt
2024/03/28,FP - Inside the Box,Nguyễn Đức Trọng,"Đừng khó chịu khi dạy bố mẹ dùng điện thoại, hãy nhớ ngày xưa khi dạy bạn cầm đũa, họ đã vất vả thế nào.  Mẹ mình mới dùng smartphone, cũng không quen gõ dấu, thế là mình viết ra cách gõ dấu câu để mẹ học dần. Hôm nay, nhận dòng tin nhắn đầy đủ đầu tiên của mẹ, cả mình và mẹ đều rất vui, hạnh phúc vì điều nhỏ bé vậy thôi.  Bố mẹ đã có tuổi, không còn nhanh nhẹn nữa, hãy nhẹ nhàng và kiên nhẫn với bố mẹ, như cái cách bố mẹ đã thương yêu chúng ta ngày còn nhỏ, nhé!  | Bạn Nguyễn Đỗ Hương Giang chia sẻ trong group Cháo hành miễn phí",https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/432774371_424894006888872_156936040711285369_n.png?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFOfo5GgZyDpYB9a4PU1SIKKHYXsq_Za6Qodheyr9lrpCvxPyYpHgDRu6TjJbi5_taTNAEnHoUvoxJKl3YIvnCB&_nc_ohc=L_5IjTwu9zkAX_Dt2hH&_nc_ht=scontent.fhan14-4.fna&oh=03_AdSmQLbf1AGFG3EDhvxyAGF_LOq0T4gAMC8LmK-86tMDlg&oe=662DF4CA ,,,,Bách,Duyệt
2024/03/28,FP - Inside the Box,Giang Uyên,"Dù là đàn bà con gái nhưng cứ lần nào tan làm mà đi qua quán bia là mình phải nhìn vào. Vì sao? Vì đây là lý do chồng mình biến thành chồng cũ.  Mình không phản đối chuyện mấy anh đàn ông tan làm sẽ ngồi lại quán bia, quán nhậu giải khát hay chém gió xả stress, nhưng cái gì cũng nên có giới hạn thôi. Đặc biệt là khi đã có gia đình thì phải hiểu bản thân mình có trách nhiệm với cả người khác nữa. Mình không chấp nhận chồng mình cứ tan làm là vụt ngay ra quán nhậu, để kệ vợ về nhà dọn dẹp nấu cơm. Con cũng không để ý ai đón ai rước, cứ cậy ở nhà có ông bà.  Vui chơi nhưng vẫn phải trong khuôn khổ, cứ cân bằng cả việc nhà và việc bạn bè bên ngoài thì mình không cấm cản gì.  | Tâm sự member Inside the Box.",,,,,Bách,Duyệt
2024/03/28,FP - Inside the Box,Nguyễn Đức Trọng,"Cẩm nang Cách yêu một cô gái nghĩ nhiều:  1.  Luôn nhớ rằng, cô ấy hoàn toàn không muốn mình nghĩ nhiều như vậy. Không ai muốn thế cả! Cô ấy cũng rất bực tức vì sao mình lại tiêu cực như thế. Vậy nên đừng càu nhàu nhiều quá. Dù sao thì cô ấy cũng chỉ thể hiện điều đó với bạn. Tới lúc cô ấy không nói gì nữa, cũng là lúc cô ấy không cần bạn rồi… => Bạn có thể cáu vì cô ấy hay tiêu cực, nhưng cô ấy cũng cáu không kém, thậm chí ghét bản thân mình vì sao lại hay suy nghĩ như thế. Đừng chỉ trích, hãy nhẫn nại, từ từ mọi chuyện sẽ ổn hơn. 2. Thay vì nghĩ và nói “Lại nghĩ nhiều rồi”, hãy nghĩ “Đã đến lúc cô ấy cần đến mình”, và nói “Đây anh đây, nói anh nghe nào bae”. Hãy nhớ nghe là chính, đừng nói gì cho đến khi cô ấy nói xong, đừng khuyên gì nếu cô ấy chưa nhờ bạn! => Bạn nghĩ nó có thể rất mất thời gian, nhưng thực tế, nó sẽ giúp bạn tiết kiệm hàng tỉ giờ để không phải thắc mắc tại sao cô ấy không nói chuyện với mình, tại sao hai người lại cãi nhau, sao “Chỉ có thế mà cũng khóc”... 3. Cô ấy không cần bạn khuyên nhủ, đa phần là vậy. Bởi vì gần như cô ấy đã nghĩ ra tất cả các phương án cho chuyện của mình rồi. Việc của bạn là động viên và ủng hộ cô ấy đưa ra lựa chọn thôi. => Với người yêu, nói ít hiểu nhiều, động viên ủng hộ, không cần dạy bảo vì cô ấy lớn hơn tuổi thật đó… 4. Cô ấy dành phần lớn thời gian để nghĩ “Do em không đủ tốt”, “Do lỗi của em”. Vì thế, hãy cho cô ấy thấy rằng cô ấy quan trọng và không kém như vẫn nghĩ. => Nói cô ấy nghe cảm nhận thật sự của bạn, và nói thường xuyên về những gì bạn thấy cô ấy tốt. Cần thời gian để cô ấy tự tin hơn đấy, nhớ là cần thời gian. 5. Vì nghĩ nhiều nên có vài lúc cô gái của bạn sẽ bị: thiếu ngủ, da không đẹp, tóc rụng, đôi khi là cả đau dạ dày… điều đó lại càng làm cô ấy… nghĩ nhiều hơn! Hãy quan tâm sức khỏe của cô ấy một chút! => Nhắc hoặc cùng cô ấy ăn uống đúng giờ, ngủ sớm một chút, chịu khó bắt cô ấy ra ngoài đi bộ, hoạt động ngoài trời. Điều này tốt cho cả hai đứa luôn! 6. Cô ấy không phải gánh nặng! Một cô gái nghĩ nhiều, chín chắn hơn tuổi, không hấp tấp khi ra quyết định, quan tâm đến cảm xúc, lúc nào cũng muốn điều tốt cho bạn, đôi khi quên cả bản thân mình… Đó là cô gái bạn cần trân trọng!. => Cô ấy tuyệt vời hơn cô ấy nghĩ. Nếu bạn có thể cùng cô ấy tốt hơn, bước qua những khoảng thời gian khó khăn, bạn sẽ thấy phiên bản tốt nhất của cô ấy, cũng học được cách tốt nhất để yêu một người! Tuyệt vời! 7. Nếu bạn đọc được tới đây, đó là một điều tốt. Có thể bạn sẽ thắc mắc, tại sao lại phải chú ý lắm điều, làm lắm thứ như vậy. Nhưng hãy nhớ, những điều bạn nghĩ bạn “sẽ phải làm” này, thực ra, cô ấy đang làm với bạn rồi đó… 8. Chúc hạnh phúc, hãy cùng nhau lớn lên!  | aT Ảnh st",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/342576201_259438419839049_1510077628797212146_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGasweSjDcv3VqlLm937oXVi4pyDKIGhiKLinIMogaGIlQhed4smXZcNv-LG8dlCSvxtNkDE52vWdSBYgbfxkbE&_nc_ohc=Ter7iN96zPkAX82qLfL&_nc_ht=scontent.fhan14-1.fna&oh=03_AdRptlx_TqeG3H2lU92MKBY4gD29nRx58xLIJeXV4v8PVg&oe=662DD028 ,,,,Đạt,Duyệt
2024/03/28,FP - Inside the Box,Thao Thu Giap,"Tay giơ lên vẫy xin đường, miệng cười bảo: ""Cẩn thận em nhá"".   Đây là hình ảnh duy nhất mình chụp được về một người tốt đã giúp mình hôm nay. 17h, đường Láng đông lắm. Mình loay hoay mãi không sang được đường. Có anh ""áo vàng"" phi lên bên cạnh mình, chờ một lúc lâu cho ô tô đi vãn, giơ tay lên vẫy, ra hiệu xin đường.   Mình thấy thế, nghĩ bụng: may quá, có người để đi theo rồi.   Trước đó anh không nói gì với mình cả, đến khi mình sang được bên kia, anh mới nhìn mình cười rồi bảo: ""Cẩn thận em nhá"". Dù anh bịt khẩu trang kín mít nhưng nhìn mắt anh, mình biết một nụ cười đang nở.   Vui lắm, nhưng mình chỉ kịp cúi nhẹ đầu bảo ""Em cảm ơn anh"" thôi.   Anh vụt đi mất, ở phía xa kia kìa. Nhìn biển số xe thấy anh cùng quê, 98 Bắc Giang, mình tự thấy yêu đời khó tả.   Vô tình mà có duyên quá.   Hạnh phúc đôi khi chỉ nhỏ bé thế thôi, tự nhiên gặp trên đường.   | Chia sẻ của bạn Thu Thảo với Inside the Box.",https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433559510_3619860251627668_8287579238735194171_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFv3DHBBDVW6-9ka1qGGfMKvuxXMqI_cmK-7Fcyoj9yYsMygTn8478QQrluElvIDLmmlVT1M42Qnna0nV9VZcVU&_nc_ohc=_NvxH-sM954AX8VuSRb&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQ4a5qISo0S2OI9LLD19Js0LmUarIssfdFcMsEW6qa02g&oe=662DCF0E ,,,,Đạt,Duyệt
2024/03/28,FP - Inside the Box,Giang Uyên,"Có một đợt, mình học theo cách chữa lành trên mạng. Người ta nói bao nhiêu lý thuyết về chữa lành mình học lấy thuộc lòng, người ta khuyên làm gì mình cũng mày mò làm theo hết. Mình lật đật vụng về mang cái khuôn người ta tạo để áp vào bản thân, kết quả chả thay đổi được gì. Khủng hoảng vẫn khủng hoảng, buồn vẫn buồn. Có rách thêm thôi chứ lành đâu không thấy.   Mãi sau mình mới hiểu, chữa lành thực sự phải là tự mình “chữa” những vấn đề bản thân gặp phải, chữa hết mới “lành”. Không phải cứ đi tìm thú vui xoa dịu tinh thần,tạm gác lại những vấn đề ấy sang một bên. Bởi vì làm vậy xong, vấn đề vẫn còn nguyên đấy. Cái gì cần chữa vẫn cứ cần chữa.   Ví dụ bạn với người yêu xích mích, bạn không hài lòng với cách họ làm bạn buồn. Thế là bạn chữa lành bằng cách mặc kệ anh ta, tự bỏ đi du lịch vài hôm. Bạn rất vui trong chuyến đi. Nhưng đến lúc bạn quay về, bạn vẫn phải đối diện với những mâu thuẫn ấy. Và thế là vòng lặp xuất hiện.   Vấn đề chỉ thực sự mất đi khi mình giải quyết nó thôi. Nên là, bằng cách này hay cách khác, hãy cố gắng giải quyết triệt để tận gốc của những điều làm mình buồn.",https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432816947_7321477244638939_6901091875467799179_n.png?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFoSMnblr5U1zrKrYSQtvemHT32JaEkNM4dPfYloSQ0zoBZyPTiCprL17R95YJqtWY3OPKaXvSB07JBnZeSeqHe&_nc_ohc=F2keTNrOu1YAX-yL7ki&_nc_ht=scontent.fhan14-5.fna&oh=03_AdRDdPnrNK9aVuYsQgwYY15q8jk2rxbnV0xQWuEvkY2U0A&oe=662DDA55 ,,,,Đạt,Duyệt
2024/03/27,FP - Inside the Box,Nguyễn Đức Trọng,"Cây cam ngọt của tôi - cuốn sách nhớ đời của tôi…  Mới đầu thấy mọi người khoe ảnh sách còn kèm theo mấy quả cam bên cạnh làm mình cũng tưởng thật, dù đọc review đã thấy “nghi nghi” rồi.  Mình mua thử về đọc, kết quả thì chắc ai cũng biết rồi. Không có quả cam nào cả, đọc xong cũng thấy đắng ngắt luôn. Một cuốn sách dành chỉ mấy đứa nhạy cảm mới hiểu, mà hiểu thì khóc trôi nhà. Khi thế giới đầy mộng mơ bị thực tại dập tắt, đứa trẻ lớn lên như chúng mình, bao đứa trẻ khác... Sở dĩ mình đồng cảm với cậu nhóc ấy, là vì cậu ấy chính là chúng ta. Từ những trò chơi nhập vai, những người bạn tưởng tượng, những lần vấp ngã trong mối quan hệ với mọi người trong gia đình...  ""Tại sao người ta lại nói cho bọn trẻ biết nhiều chuyện như vậy trong khi chúng còn bé như thế?"" - Cứ nhớ mãi câu này thôi…  | aT",https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/297205444_3137184069927693_3545598523465872510_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG7Yjv1m_PGBTOcNUIlZzdMbw5qJBy7dUNvDmokHLt1Q4tCOMoP39GcyPghgf9-6nfIcvzY76sM0Am5LuUSM-Hz&_nc_ohc=BwTZ7zKHnX0AX-gzlhI&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQ_2Krfi6Yi6sqBzOcim6ZOpmZPd70K-Tjp_WKAbzZTjQ&oe=662DC501 ,,,,Bách,Duyệt
2024/03/27,FP - Inside the Box,Nguyễn Đức Trọng,"Nghe anh nói vừa buồn cười vừa thấy cũng có lí, cũng hay. Mỗi tội kèo đi du lịch với bạn bè bao nhiêu năm vẫn nằm đấy thôi ạ!  | Chia sẻ của anh Trương Anh Ngọc trong podcast A Beat of Life Ep10",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/432827094_1087759866009430_787674522765791937_n.png?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHMj84oYCqFQlcQFHl9mw1-o73fsHYVj6ajvd-wdhWPpgPRyFuI4irx2O6ejHEpvjNDzbsFu_1TKpY6CXVEOso5&_nc_ohc=AkSnFqpLE_AAX92cthW&_nc_ht=scontent.fhan14-2.fna&oh=03_AdSe0f-USbwdChiinaSpwnfKpA3aovRZwNgi8mcgeYrBMQ&oe=662DC30E ,,,,Bách,Duyệt
2024/03/27,FP - Inside the Box,Giang Uyên,"Đồng nghiệp mình (admin cũ của Box) từng là nạn nhân của bạo lực học đường. Con bé từng viết một bài kể thật về chuyện mình trải qua: “Tôi từng là đứa trẻ nói không ai tin, cầu xin không có ai cứu.” Nó ngồi sau mình, ôm mình lúc hai đứa tan làm cùng về: đợt đấy tao tưởng tao ch*t thật mày ạ, nhớ lại mà ám ảnh.   Con bé bị bạo lực ngôn từ, bị tẩy chay, bị đặt điều nói xấu, bị bôi nhọ 2 năm cuối cấp 2. Chục năm qua đi rồi, giờ nó vẫn còn thút thít khóc mỗi lần nhớ lại. Bạo lực, dù là hình thức nào cũng đều khiến người ta đau cả!  Và bạo lực,  Còn có thể cướp đi tính mệnh của một người.  Mình đọc tin về em bé lớp 8 dạo gần đây mà bộn chộn trong lòng, xót xa khủng khiếp. Có ai ngờ đâu chỉ vì xích mích bình thường của trẻ con lại có thể gây ra một hệ quả lớn như vậy. Phẫn nộ và bất bình vô cùng trước hành động bất nhân của những kẻ đã dùng vũ lực để làm tổn thương em.  Mình nói thật, làm người có thể nhiều cái không biết, nhưng nhất định phải biết điều. Biết điều thế nào? Gia đình phải dạy trước. Bố mẹ phải làm gương cho con trẻ, phải dạy con mình cách sống cho ra giống.  Ai đời, cha mẹ thay vì dạy con tránh xa bạo lực học đường và phải biết bảo vệ bản thân mình, lại dạy con cách gây ra nỗi đau cho người khác. Đáng buồn thay!",https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433396520_429029112830652_4946393751793000620_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEbqWywQLZSHVKQ35jrnDmOp9QIp3qpmL6n1AineqmYvpt1z6BgseJ3r4A6v9oSAN7_KuY4biZstmhSAKr-h6Fb&_nc_ohc=vAKNubbxb4kAX_BP-s1&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQzKVCn6jkJwVRjdXYvsla6qbljFOD374BC2-nMgjbcfA&oe=662DE350 ,,,,Đạt,Duyệt
2024/03/27,FP - Inside the Box,Nguyễn Đức Trọng,"Đừng bao giờ gieo vào đầu trẻ con suy nghĩ rằng chúng thượng đẳng hơn ai trong xã hội này. Cha mẹ nào làm điều đó, chẳng khác gì kẻ bất lương…  Nhìn những hình ảnh này của nam sinh lớp 8 ấy, tôi muốn công bằng cho em và mẹ, nhưng tôi chỉ thấy vô lực, không thể làm gì khác. Đó không phải là cảm giác của riêng tôi.  Sẽ có rất nhiều người nghe chuyện của em mà tức giận, phẫn nộ, thất vọng,... tôi biết, nhưng chúng tôi không thể làm gì để mang lại phép màu cho em. Cho dù kẻ thủ ác có bị trừng trị thích đáng, thì em có thể sống tiếp cùng mẹ trong cuộc đời này không?  Rồi mẹ em sẽ ra sao? Có công bằng nào đủ làm nguôi ngoai nỗi đau không? Nếu phép màu không đến, chỉ mong ở một kiếp sống khác, em sẽ có được cuộc đời sáng tươi hơn, được gặp lại những người em yêu thương theo một cách nào đó.  Cho đến bây giờ, tôi đã thực sự hiểu rằng, công bằng không phải là thứ thuộc về tự nhiên, cuộc đời luôn đầy rẫy những điều không ngờ, để rồi ta phải tự hỏi “Tại sao lại là tôi?”, “Tại sao lại là em?”...   Em đã sống cuộc đời tốt mà, tại sao lại làm thế với em?... Tại sao người bố kia có thể đứng nhìn 2 đứa con làm vậy với em? Nhưng sự thật là thứ không thể thay đổi, công bằng, là thứ phải đấu tranh để có được, đôi khi sẽ có những chuyện ta không hề mong muốn xảy ra…  Cho đến bây giờ, tôi đã thực sự hiểu rằng, sự lương thiện, lòng thương người và sự thấu hiểu không phải là thứ mà sinh ra đã có. Bất kỳ đứa trẻ nào cũng cần phải được dạy về sự lương thiện, thấu hiểu nỗi đau của đồng loại từ khi còn nhỏ, trước khi quá muộn. Và cha mẹ nào không thể dạy được điều đó cho con, là không xứng đáng cho thiên chức ấy.  Đứa trẻ không hiểu thế nào là đau thương, không hiểu nỗi đau của người khác, chỉ biết nghĩ cho mình,... cuối cùng cũng là nạn nhân ở một khía cạnh nào đó, vì đã khuyết thiếu mất đi những gì tốt đẹp nhất của sự tiến bộ của loài người.  Bởi vì không muốn thấy những điều đau lòng như thế nữa, tôi chỉ mong những ai sẽ làm cha mẹ, hãy luôn dạy cho con cái mình những điều tốt, cho chúng hiểu, sinh mệnh của bất kỳ ai cũng quý giá như của mình.   Đừng bao giờ gieo vào đầu trẻ con suy nghĩ rằng chúng được xếp trên ai, thượng đẳng thế nào trong xã hội này, bởi vì như vậy, chính là đưa chúng gần hơn đến vô cảm và tội lỗi.  Cha mẹ nào làm điều đó, chẳng khác gì kẻ bất lương…  | aT",https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/431030060_1004746864519324_4767120794162777363_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGkHJDOWzsmE6Qhq945WKnLcnw2qu1l9HdyfDaq7WX0d5V9F0p6wTEV4wH2pyMtivbGCPyE63h5S6fFRej-_QNh&_nc_ohc=-pClj_jOinQAX-ANEl4&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQIOWyjdxHLKeKWzx6eSiFp2L1qZvNmi2ujKFAAQNlssw&oe=662DEDDB ,,,,Đạt,Duyệt
