time,page,sender_name,content,photos,,videos,link,kdv,,,
2024/03/28,Quảng cáo,Khánh Ly,"Tầm này thấy ai cứ đứng lên ngồi xuống liên tục, thi thoảng lại nhăn mặt và hay kêu đau, thì chắc người ta đang trũy đấy. Đây là tín hiệu vũ trụ để anh em tặng ngay cho bạn mình một hộp Tottri cứu cánh giảm đau nhanh chóng, giải thoát khỏi trũy đáng ghét ngay thôi =))  #Tottri #NgaiGiTri",,,,,Đạt,Duyệt,,
2024/03/28,Quảng cáo,Khánh Ly,https://drive.google.com/file/d/13rnNkbllYUQ5e6H3A5oobm5Z13PqfKEG/view,https://drive.google.com/thumbnail?id=13rnNkbllYUQ5e6H3A5oobm5Z13PqfKEG,,,https://drive.google.com/file/d/13rnNkbllYUQ5e6H3A5oobm5Z13PqfKEG/view,Đạt,Duyệt,,
2024/03/28,Quảng cáo,MinhQuang Luu,https://docs.google.com/spreadsheets/d/1eQ4_duqyF9nTG2yz4QGK2mpgCpSGTHem2UTRjtQKMQ0/edit#gid=0,https://drive.google.com/thumbnail?id=1eQ4_duqyF9nTG2yz4QGK2mpgCpSGTHem2UTRjtQKMQ0,,,https://docs.google.com/spreadsheets/d/1eQ4_duqyF9nTG2yz4QGK2mpgCpSGTHem2UTRjtQKMQ0/edit#gid=0,Đạt,Duyệt,,
2024/03/28,Quảng cáo,Phuong Thao Luong,"BEATVN   Caption: Sông có khúc, người có lúc này lúc kia :))) #GrabFood #DatDonNhom  Comment:  Chia gì thì không biết chứ chia bill tự động thì lên ngay GrabFood đặt đơn nhóm nha tiện lợi vô cùng: https://grb.to/DatDonNhom",https://drive.google.com/drive/folders/1vHoW0xKkybyy34rOwviBxyY8OuyRQKjf,,,https://grab.onelink.me/2695613898?pid=other&c&is_retargeting=true&af_dp=grab%3A%2F%2Fopen%3FscreenType%3DSANDBOX%26sandboxDeepLinkUrl%3Dpages%2FDPG-cf987be0-97d1-11ee-9e7e-8727e5085351&af_web_dp,Đạt,Duyệt,,
2024/03/28,Quảng cáo,MinhQuang Luu,https://drive.google.com/file/d/1yQrgiNU9xEn_GkPrpkV8T2JryqKPT0k4/view?usp=sharing,https://drive.google.com/thumbnail?id=1yQrgiNU9xEn_GkPrpkV8T2JryqKPT0k4,,,https://drive.google.com/file/d/1yQrgiNU9xEn_GkPrpkV8T2JryqKPT0k4/view?usp=sharing,Đạt,Duyệt,,
2024/03/28,Quảng cáo,Phuong Thao Luong,"KENGO KUMA - KTS HUYỀN THOẠI NHẬT BẢN SẼ THIẾT KẾ RIÊNG MỘT PHÂN KHU DINH THỰ NẰM TẠI THÀNH PHỐ ĐẢO VŨ YÊN, HẢI PHÒNG  Giữa thành phố Đảo Hoàng gia Vinhomes Royal Island có 1 đặc khu tỷ phú tinh hoa Nhật tên là Miyabi. Bao quanh các biệt thự tư gia là cát trắng và biển nước mặn mở cửa ra đến biển, nội khu là vườn Nhật Tùng La hán, cầu gỗ, hồ cá koi, đường hoa anh đào.   Được thiết kế bởi kiến trúc sư Kengo Kuma - đại diện cho nền kiến trúc đương đại tại Nhật Bản,  người thiết kế các công trình nổi tiếng thế giới: Sân vận động quốc gia Nhật Bản, Bảo tàng nghệ thuật Toyama Glass, Tháp 1550 Alberni Street Tower tại Canada…những fan cứng của xứ Phù Tang cực kì yên tâm về độ “chuẩn auth” mang đậm triết lý sống tối giản của người Nhật, tinh tế, duy mỹ, gần gũi thiên nhiên từ kiến trúc đến vật liệu, nhưng vẫn thể hiện đẳng cấp thượng lưu của phân khu đóng, riêng tư như nơi ở của quý tộc Nhật.  Nếu bạn là người chuẩn gout quý tộc ngầm trong thầm lặng quiet luxury, về nhà bằng du thuyền rồi bình yên bên bờ biển riêng, hưởng thụ thú vui cưỡi ngựa xa hoa rồi về nhà tĩnh tại với hồ cá, thưởng trà, ngắm vườn Nhật Tùng La Hán. Thế thì Miyabi trên Thành phố đảo hoàng gia Vinhomes Royal Island chuẩn dinh thự may đo cho bạn!  Ảnh: ©Junya Okada",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/434538587_799764458873560_4071504829859775086_n.png?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEQd0OJV9cPj37QK76hhWG-P5WvXOKPT6M_la9c4o9Po42hWmF-U8hbNmEk4gtOO0xgnOen_46p10pT_BUBj8rP&_nc_ohc=fugVhoC8dDYAX9W_F74&_nc_ht=scontent.fhan14-2.fna&oh=03_AdQBTBd3T1Or__Svv05JyD--vmFinpDMLto82dwgnj_Obg&oe=662DBD45 ,,,,Bách,Duyệt,,
2024/03/28,Quảng cáo,Khánh Ly,"Caption:  HOT: COCA-COLA CHÍNH THỨC RA MẮT BỘ SƯU TẬP QUÁN ĂN CHẤT LƯỢNG KHẮP VIỆT NAM  Cho bạn nào chưa biết: danh sách các địa điểm ẩm thực hot hòn họt đã được gói gọn trong Foodmarks nhà Coca-Cola, chờ gì nữa mà không trải nghiệm ngay và luôn 🤩  Tạo nên những kỷ niệm đáng nhớ cùng hội bạn với thật nhiều món đỉnh, và chắc chắn là không thể thiếu vị ngon tuyệt vời của Coca-Cola rồi đúng hông nè?  #CocaColaVN #Foodmarkds #SuKetHopDieuKy  CMT: Gửi cho mọi người chiếc food-list thật xịn sò: https://cokeurl.com/FoodmarksVN",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/421958073_1113300876529111_7463616090553637208_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHfnHbakJKQioUqf-286wagJWed2jb1k1MlZ53aNvWTU6JPz_n5tIKRufLXzkj7jCbNcP3FfJvEwkYKqghKRiit&_nc_ohc=UfuINv84jIEAX_RlNbX&_nc_ht=scontent.fhan14-2.fna&oh=03_AdRyWCMo6SDStZFCQkxO-pnNzCPa9W-AvEAaCipvP-kaBg&oe=662DDFC4 ,,,,Bách,Duyệt,,
2024/03/28,Quảng cáo,MinhQuang Luu,"GIẢI MÃ: ĐẬU NÀNH THÔI MÀ…SAO CÁC CHỊ KHỎE ĐẸP TRĂM PHẦN CÂN BẰNG CUỘC SỐNG? 🤔🤔  Nếu bạn luôn thắc mắc các Chị Đẹp sao luôn xuất hiện với tinh thần năng lượng, rạng rỡ cùng vẻ ngoài đẹp tươi tắn thì chắc bạn chưa biết đến ""trợ thủ đắc lực""của các chị là Fami Green Soy rồi!  Giữ trọn vị tươi ngon đặc trưng của đậu nành nguyên bản - sánh, béo, giàu dinh dưỡng, tuân thủ quy tắc “3 không”: không biến đổi gen - không cholesterol - không chất bảo quản. Đặc biệt, Fami Green Soy còn chứa 3 dưỡng chất từ tự nhiên giúp các chị Đẹp khỏe đẹp trăm phần đó là:  🌱 100% Omega 3-6-9 tự nhiên giúp bổ sung đầy đủ dưỡng chất cần thiết.  🌱 100% đạm thực vật, đầy đủ 9 axit amin thiết yếu mà cơ thể không thể tự tổng hợp được.  🌱 100% chất xơ tự nhiên sẵn có trong hạt đậu nành, góp phần bổ sung chất xơ thiếu hụt trong chế độ dinh dưỡng hàng ngày.  Các chị Đẹp đã có bí quyết, còn bạn đang thử chưa? Chọn ngay Fami Green Soy là thức uống dinh dưỡng giúp cân bằng năng lượng tích cực mỗi ngày nhé!",,,,,Bách,Duyệt,,
2024/03/28,Quảng cáo,Phuong Thao Luong,"VINMEC TRIỂN KHAI TRUNG TÂM CHĂM SÓC SỨC KHỎE NGƯỜI CAO TUỔI CHUẨN QUỐC TẾ TẠI VINHOMES OCEAN PARK 2   Hà Nội, ngày 27/3/2024, Tập đoàn Vingroup đã ký kết thỏa thuận hợp tác với Tập đoàn Y tế Well Group (Nhật Bản) để phát triển mô hình Trung tâm chăm sóc sức khỏe người cao tuổi cao cấp tại Việt Nam. Theo đó, Vinhomes Ocean Park 2 sẽ là nơi đầu tiên triển khai, tiên phong mở ra mô hình dưỡng lão tiêu chuẩn quốc tế.  Mô hình chăm sóc sức khỏe cho người cao tuổi đẳng cấp quốc tế do 3 bên triển khai theo hai hình thức: Chăm sóc sức khỏe người cao tuổi trong ngày và Chăm sóc sức khỏe người cao tuổi dài hạn (nhà dưỡng lão). Người cao tuổi sống cùng con cháu sẽ được cung cấp dịch vụ chăm sóc sức khỏe chuyên nghiệp gồm: dịch vụ y tế (chăm sóc cơ bản: sơ cứu, theo dõi huyết áp, cân năng, quản lý dinh dưỡng, vệ sinh, y học cổ truyền, hồi phục chức năng, nâng cao thể trạng…), dịch vụ lưu trú (phòng nghỉ và bữa ăn trong ngày) và dịch vụ giải trí (hoạt động theo các câu lạc bộ).   Mô hình Chăm sóc sức khỏe người cao tuổi dài hạn sẽ được triển khai với các dịch vụ tương tự như mô hình như tại Vinhomes Ocean Park 2 nhưng có thêm các dịch vụ chăm sóc dài hạn như chăm sóc cá nhân; dịch vụ lưu trú (bữa ăn, HK, giặt là, an ninh, lễ tân, hỗ trợ di chuyển…); dịch vụ giải trí…   Quả đúng là Vin, ai cũng được nhận đặc quyền chăm sóc sức khoẻ chuẩn quốc tế! 10 đỉm!",https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/433731806_1832293010553099_5272728092817848277_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEc6K9oWy5-C2ZyJX0Zxlohrafqd3CazgWtp-p3cJrOBSYnLKSIQxB9bo7ktVNYOod-llVl0mflsZmBrDTV9tqB&_nc_ohc=69ChzvxTYdMAX_RV86T&_nc_ht=scontent.fhan14-2.fna&oh=03_AdTJvWt1f4ZQGE2jhnG6Y86HFHah4ez65vaTekSGOi7nHw&oe=662DEEC1 ,,,,Đạt,Duyệt,,
2024/03/28,Quảng cáo,MinhQuang Luu,,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/434140187_943074820467599_1285413210702352793_n.png?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEFqV0j5rJCxLNgsshLg2Qj5arFqgifnyDlqsWqCJ-fIOr5_sD8K17iyqbaO5PGZKJfUyYvLp6vGI3kmapa0XM3&_nc_ohc=BFvCZGwoEksAX_42cmz&_nc_ht=scontent.fhan14-4.fna&oh=03_AdT1-YTKjknvew_LMNHX09NORyJkLRveizlioxWXwCJeWQ&oe=662DF3B1 ,,,,Bách,Duyệt,,
