time,,sender_name,content,photos,,videos,link,kdv,,,
2024/03/28,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,"Ở Sài Gòn, điều gì làm bạn cảm thấy nuối tiếc nhất?  Mình ít khi nuối tiếc về những việc đã làm, nhưng mình từng nuối tiếc vì đã không cố gắng hết sức, mình ước giá mà mình làm tốt hơn. Mỗi lần như thế, cũng coi như là bài học, để lấy động lực làm tốt hơn trong tương lai.  Đánh mất một người bạn, rõ ràng rằng cả hai đã từng rất vui vẻ bên nhau như thế, nhưng dần dần lại biến mất trong cuộc sống của nhau lúc nào chẳng biết. Ba chữ bạn thân cũ, đôi khi cũng thật buồn.  Nuối tiếc vì không dành thời gian cho ba má nhiều hơn, có những lúc mải chạy theo những mối quan hệ bên ngoài quá nhiều, lại thiếu đi sự quan tâm dành cho ba má. Mình thương ba má, thiệt nhiều  “Tiếc nhất không phải chia tay mà là không yêu em nhiều hơn trước lúc tình yêu chết” đôi lúc mình nghĩ giá mà chúng ta trân trọng nhau hơn thì mọi điều có thể sẽ khác đi không. Tiếc chứ, một đoạn tình cảm từng dành hết con tim mà.  Mình tiếc vì đã không chăm sóc bản thân thật tốt, đôi khi quá bận tâm đến mọi thứ xung quanh, sợ mất lòng, sợ bị hiểu lầm mà gồng mình lên quá, đến lúc nhìn lại thì chỉ mỗi bản thân mình là bị tổn thương, thật buồn.",,,,,Bách,Duyệt,,
2024/03/28,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,"Em ơi hè về rồi  Gửi nhẹ những vùng biển đẹp đến nao lòng trên dải đất hình chứ S, đảm bảo đặt chân đến là chẳng muốn về. Xin vía đi hết những vùng đất này trước khi tuổi 30  Hè rồi, tranh thủ nạp vitamin sea liền thôi mấy bảnh ơi",,,,,Đạt,Duyệt,,
2024/03/28,FP - Sài Gòn nghenn,Quyen Tieu,"Caption: Ai biết câu này chắc giờ cũng 2 con  Comment: Quận 5 là nơi có cộng đồng người Hoa đông đúc. Khu vực còn gọi là Chợ Lớn này nổi tiếng với hàng loạt nhà hàng, khách sạn đủ phong cách, hương vị đặc trưng Trung Quốc. Người Việt Nam quan niệm ăn cơm Tàu là ngon, nên nói ""ăn quận 5"" ý là như thế.  ""Nằm quận 3"" là đề cập đến nhà cửa lý tưởng nhất là ở khu vực này - trung tâm thành phố. Hàng loạt biệt thự, cư xá, cao ốc khang trang, đẹp có tiếng thời bấy giờ tập trung trên những con đường rợp bóng cây xanh, yên tĩnh như Tú Xương, Đoàn Thị Điểm, Ngô Thời Nhiệm, Hồ Xuân Hương…  Nhộn nhịp, xa hoa nhất Sài Gòn là quận 1. Các dinh thự, ngân hàng, cao ốc, công ty, trung tâm mua sắm, siêu thị, nhà hàng, khách sạn sang trọng, bề thế đều tập trung ở đây. Ban ngày nhộn nhịp người vào ra, ban đêm cũng rộn ràng không kém.  Khi xưa, nhắc đến quận 4 nhiều người vẫn dè chừng về vùng đất nhiều giang hồ, cướp bóc. Đó là khu vực của dân lao động nghèo, cũng có nhiều băng đảng xã hội đen, tệ nạn, trộm cướp. Ban đêm ít ai dám đi một mình bởi tình trạng cướp giật như cơm bữa. Tuy nhiên giờ đây mọi thứ đã đổi thay, quận 4 đã trở thành một vùng dân cư đầy triển vọng, an ninh ổn định hơn.",https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/431439386_3651145708466630_614582056864415508_n.png?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHRh9gQbEwJfaPT7MGCgOZDYYkxpJt32-BhiTGkm3fb4Oh4gF6LliZ9oKu5hPfNoYVSs3m1t6HpZQrgn6AxsxQd&_nc_ohc=oFVp-oP-SeEAX99Oo-z&_nc_ht=scontent.fhan14-3.fna&oh=03_AdQVpA3OEjIOGGmgl_QkG23XexK9Fk1pXdjmjf3Sgk-8lA&oe=662DE211 ,,,,Đạt,Duyệt,,
2024/03/28,FP - Sài Gòn nghenn,Quyen Tieu,"NGƯỜI SÀI GÒN KỂ CHUYỆN KẸT XE  1. Sáng tắm táp thơm tho các kiểu đi kẹt xe tới chỗ làm là oải chè luôn  2. Cảm giác thốn khi nhà ngay bên kia đường mà nó nhích gần nửa tiếng mới lết qua được  3. Có hôm kẹt dữ quá tao ngồi lại bên đường làm dĩa cơm tấm chờ cho bớt đông. Và đó là bữa ăn lâu nhất của tao.  4. Thắng xe bị hư mà kẹt xe trên cầu đúng đoạn dốc xuống, gồng muốn bục chỉ để giữ cho xe khỏi trôi.  5. Mỗi ngày tao phải chạy 12km để đi làm. Đi từ 6h45 đến 8h mới tới nơi, riêng thứ 2 với thứ 6 auto trễ.  6. Hôm nào lỡ ngủ hơi nhiều trễ học cứ nói với thầy là em bị kẹt xe ở 3/2 :D  7. Nhà cách ngã tư Hàng Xanh chỉ 200m thôi... mà hôm nào đi làm về trễ thì y như rằng pải 1 tiếng mới có thể về đến nhà  8. Cộng Hoà bữa thấy giao thông thuận lợi thì có hơi sang chấn tâm lý :))  9. Bởi vậy có câu ""Muốn đi nhanh thì đi một mình còn muốn đi lâu thì đi Cộng Hòa""  10. T đi riết thấy quen luôn rồi, gặp hoài nên cũng không có gì quạu mà còn được ngủ thêm 1 giấc trên xe bus nữa  11. Thế đã có ai dính kẹt xe mà mắc wc chưa...  Món ""đặc sản"" Sài Gòn này bạn đã thử qua chưa?",https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/432923241_437167228970197_8911204069502709465_n.png?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEoBJUIW42Z3wNBfae9wlRriEZCLBRcTd6IRkIsFFxN3v82OCWkkZzuGvlUm0UBfXYJdKujI1JCDujZ-CKhwDbX&_nc_ohc=SgF2JW3Se7wAX9uhdMA&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSnwsMUL1hm-7Y51-0q1yINrba8Kt3__C-Et7tOyqRT7g&oe=662DE5BB ,,,,Đạt,Duyệt,,
2024/03/28,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,https://www.facebook.com/chuyencuarsaigon/posts/pfbid0EKfTDkFpMAzK1JPGqB7sPwLc29DNyqieznTRbBnhXfdca3Mv3jPGcYQpTpwAoH9ol?__cft__[0]=AZXP5f12nm-isTZlVbm7PmOcsrKy7IIjxCv24mOKLmLMj8EGIfinDjqLhFm4dydNywoMwGogYg3aGkh_gSoFbJ_IEQrmWzTufucC1Mq4Y3MiLvM2n2zIt-6vxncQCoK-Z7qoIOUlonBAeNAf6a7iKtvJujQUioiTW_xScUjzfU8z1p897Xpsd46z7vzzpLZxfT4&__tn__=%2CO%2CP-R,,,,https://www.facebook.com/chuyencuarsaigon/posts/pfbid0E9WSvbz5XnjyjFooGeycJ13G32q5vwW3xYMvmhpQVHmTWzgH8wzSExjLcWDW9XYol,Đạt,Duyệt,,
2024/03/28,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,Mấy đứa trễ làm thường là nhà gần lắm 😂😂,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433472208_428753139538642_1503659605174899711_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGirSOz7TBS16tJfivq8RgaSx7YvDlbR7BLHti8OVtHsF5l1Ue4Pp0VgoeTIZow_UTceA_XQjd5rk3ynQ940oS-&_nc_ohc=PbCgYdCRN-wAX8L5_zY&_nc_ht=scontent.fhan14-3.fna&oh=03_AdTaBp_-IB1PO6NDBDu3kea_hhKtmE91IYB51Y1YlbkZmw&oe=662DE7B6 ,,,,Bách,Duyệt,,
2024/03/28,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,"Sáng nay chắc nhiều người trễ làm, phương tiện tăng đột biến, Phạm Văn Đồng kẹt xe kéo dài  Lượng phương tiện sáng nay di chuyển qua đường Phạm Văn Đồng tăng đột biến dẫn đến tình trạng kẹt xe kéo dài. Kẹt xe xảy ra vào khoảng 7 giờ 30, nặng nhất là ở đoạn đường số 9 đến ngã tư Phạm Văn Đồng - Tô Ngọc Vân, hướng cầu vượt Linh Xuân đi cầu Bình Lợi. Xe máy, ô tô xếp hàng dài gần 2 km trên đường. Thậm chí một số xe máy chạy lên vỉa hè nhưng cũng không thoát được khỏi đám đông phương tiện.  Đội CSGT Hàng Xanh cho hay nguyên nhân là do lượng xe qua đoạn đường trên sáng nay tăng đột biến, tuy nhiên người dân vẫn có thể di chuyển chậm.  Cho chị HR xem thử coi có đỡ bị trừ nửa ngày lương không mấy ní ơi.  Theo NLĐ",,,,,Đạt,Duyệt,,
2024/03/27,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,Dù đã thấy nó nhưng toy không thể tránh khỏi nó 🙂🙂,https://scontent.fhan14-2.fna.fbcdn.net/v/t1.15752-9/431249856_419368247342633_3952254136416397697_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH6O1HZh11UiHIw2DyLaUP8bBIp2y_SJzFsEinbL9InMR-6HuJB9W0-hjV-Njco3pPE9yuX2YGXiKsIrj74ar3I&_nc_ohc=Yfdi8vWQ3aMAX9ITwmh&_nc_ht=scontent.fhan14-2.fna&oh=03_AdTq54J9pSNdSREomBZ3GpTbrYvKcpALn17LN2gHDrdv7Q&oe=662DC01E ,,,,Bách,Duyệt,,
2024/03/26,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/431788096_785610053036774_6742223739847980964_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGuuc7JupfMESw0Qn_Y6G9dmJiuPRSZf76YmK49FJl_vgyED4NNDO4sp5x1CwcTpoJqefn0M42mebKa24oLiVvO&_nc_ohc=ni3Tv03mV3gAX-MfAqG&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTxbyjiRXKz4CBwFBADW_5DRRmX-cXWITYN49hTBwnh1w&oe=662DD707 ,,,,Đạt,Duyệt,,
2024/03/26,FP - Sài Gòn nghenn,Nguyễn Thành Vĩnh,Top 1 lưu ý cho sinh viên IUH thời điểm này: - Gửi xe nhớ up mũ 😂,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/433808044_431414669551445_6024286836925558388_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeE-ICDowJHJWKRMq6ND3_b7V0ZuXLsbCrJXRm5cuxsKssBLhcXg_bJ9WVWoGc0Ujxav3xHyINWzHZgHjp67IpEp&_nc_ohc=Bclfsym0aMQAX9A2HlY&_nc_ht=scontent.fhan14-1.fna&oh=03_AdQ9CZEemEL4LoeT2KC9b7hsKyuDM06uOWUgkfd9OUAyjA&oe=662DD9B8 ,,,,Đạt,Duyệt,,
