time,page,sender_name,content,photos,,videos,link,kdv,
2024/03/28,FP - ShowBeat,Phương Nga Lê,"Tun Phạm, Long Chun nghi hoặc nhờ ae Hải Phòng check hộ thông tin Phạm Thoại lấy vợ.  Và đầu cầu Tiên Lãng trả lời:","https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/433576902_939668754154168_9216486277855542001_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFN7TK4K2XrtAmepbjomONgF_o8vBLJh5YX-jy8EsmHlt_ZpNpI-CUkmP4tPPP9qXBTRXhPFerFhLCvvEZQgx3x&_nc_ohc=GnVGbFahzqIAX-laYGO&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSqZiRlWgPTbJ7AplTfIL1YLpn2ry3UisYEx1hSAFNuSA&oe=6631F586 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/433486234_384412707810916_4186592861063522649_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG_1I6gVsFjNEAt1D10k94sdBizsa41P110GLOxrjU_XbyllJeDOsh2TtjT808PcsgZnppMEJeFcQr6-_2e3KvR&_nc_ohc=WBhs9WJj0oIAX-DWVsB&_nc_ht=scontent.fhan2-4.fna&oh=03_AdRWdQ74EZEsbI2z5HoEPydtk8vwQcFyCKk_FFF4Z5_Wfg&oe=6631FEE5 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/433563385_968651277458445_2827851355643074982_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeETr6r0YEbpemrk-jNLsaWvGt7v5vk4LMAa3u_m-TgswAWdNo7MzskMzcQcx_n4o4h_rr702t_-KF2sFXs0Z9Tu&_nc_ohc=Pd7iOvzqHzIAX9iGMDc&_nc_ht=scontent.fhan2-4.fna&oh=03_AdS4OuRQvCQ_no-EeCiRyMamawjPj99vLhUrI2K-vfsAag&oe=6631F796 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/433373827_934907958275575_611752051424050868_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEY5kQpR9IQZbpdFFIkNMwsPZ-O33ou2109n47fei7bXWlVZENKhpnkuadi3yEsLwqf_Is9DCKOkY65FXB5HHQV&_nc_ohc=f2e2lRsaNWMAX9KIwY9&_nc_ht=scontent.fhan2-4.fna&oh=03_AdS2ChaLU1O4zvdo_2e-AmR4-y07B-v-XHv1PHlwZwfhCw&oe=6631EA6F ",,,,Bách,Duyệt
2024/03/28,FP - ShowBeat,Phương Nga Lê,Chị hay hơn thua quá chị Jenifer...,https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/433252540_1389479991749406_1602467748528844500_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG_6y3_BS0nCoiPR9Xvi5aIa-8h1Z932Ghr7yHVn3fYaBza0TNEmJWQ1IwdurHKFXr8Sf_vO4rvo6NewnoDsyG0&_nc_ohc=5Ch1MIaZ05wAX8mUhA9&_nc_ht=scontent.fhan2-4.fna&oh=03_AdRr-tImrpupIHP2e-cIYS2vIbKGcPs1ICmcaMuBLooGNw&oe=663201F9 ,,,,Đạt,Duyệt
2024/03/28,FP - ShowBeat,Phương Nga Lê,"Thấy hình thắm tình thầy trò cảm động, còn đọc cap thì cảm lạnh 🤣🤣🤣 Có lẽ đây là lí do các học trò rất yêu quý thầy Park.",https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/433527301_1122116382320619_3266279105535023744_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHh0r2UaZ3C4D9SHJ9EDI4bukhgurVWX2e6SGC6tVZfZ29YLJ_knbXwdY6Kv1jDrTPF9UttdV391ITiZ5v8iyWM&_nc_ohc=xL6-7_vTwz4AX-kRuhc&_nc_ht=scontent.fhan2-3.fna&oh=03_AdS0DIDMLaa8WfbQ4HXf6PZfPosEWT4ke9hP3CNDjLEr0A&oe=6631CB86 ,,,,Đạt,Duyệt
2024/03/28,FP - ShowBeat,Phương Nga Lê,"Sở Thông tin và Truyền thông TP Hà Nội cho biết từ 28/1, đã mời anh Vũ Văn Nội - tên chủ tài khoản Tiktoker Vũ Minh Lâm. ""Tại buổi làm việc, khi đang làm việc được nửa buổi thì Tiktoker này lấy lý do không đảm bảo sức khỏe nên không ký biên bản làm việc, xin phép sẽ làm việc vào buổi tiếp theo. Tuy nhiên sau đó Tiktoker Vũ Minh Lâm không quay trở lại làm việc.""  Sở Thông tin và Truyền thông TP Hà Nội đã trực tiếp liên hệ nhiều lần, phối hợp với công an địa phương gửi giấy mời 3 lần nhưng anh Vũ Văn Nội vẫn từ chối, trốn tránh tiếp nhận thông tin và không đến làm việc với Sở.  Phó Giám đốc Sở Thông tin và Truyền thông Hà Nội cho biết, do đến nay thanh tra sở chưa trực tiếp làm việc nên kết luận về vi phạm của anh Vũ Văn Nội có thể còn quá sớm. Tuy nhiên, căn cứ vào những quy định về quy tắc ứng xử trên mạng do Bộ Thông tin và Truyền thông ban hành, trong 4 quy tắc ứng xử chung thì anh Vũ Văn Nội đã vi phạm 2/4 quy tắc.  Trong đó đã vi phạm quy định trách nhiệm tôn trọng và tuân thủ pháp luật; quy tắc về trách nhiệm - chịu trách nhiệm với các hành vi ứng xử trên mạng xã hội, phối hợp với các cơ quan chức năng để xử lý hành vi, nội dung thông tin vi phạm pháp luật.  Theo: Tổ quốc",https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/433584375_1586241778887153_1712544752402662754_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFo9pn9MRIQehfi2_MvXhsskTZQN8ImPSiRNlA3wiY9KKnlwGfdceXU-piDRJUAOUApjcAp147NFnlsHE72r5r_&_nc_ohc=u1WJQgTCvJwAX9bsS0Y&_nc_ht=scontent.fhan2-5.fna&oh=03_AdTQ08j1bPFMwy6m2cmhNSjpn5IpMNsEfbpJGJYVXYty7w&oe=6631E5C6 ,,,,Đạt,Duyệt
2024/03/28,FP - ShowBeat,Phương Nga Lê,🔥HLV Park Hang Seo đến mừng ngày vui của học trò nhưng cũng không quên động viên Quang Hải,"https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/433974258_234429129753677_187079020718622193_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHQjfiuFOrZznyVyypkozHVU0zzbSqU8TJTTPNtKpTxMgVltIHM9wsTKl7ftuqzB_csknwOtkIt5YhcwPkZUMwP&_nc_ohc=t7sFSZCNkGgAX8Ry0YI&_nc_ht=scontent.fhan2-3.fna&oh=03_AdTeyd-IdcYahtDNGtfx6kco8xsxGoeXVAsuCFvLwH8oMA&oe=6631E9AE 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/432869049_965738714961752_1866269055656577593_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHQIt3Z1tKPVKlG-7hxtbn7XhjVzR7e1iReGNXNHt7WJJKCZoiW0R33Fn6lgQJUUNSiCzlsd4sdsOr8BGBV4EIF&_nc_ohc=0keON1tWfp4AX_cULXR&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSHqMNw9JBgq5NeZ7yQT_2qAHihucBrBBlsj1YRUUIRZQ&oe=6631D330 
https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/432946041_1186579326086316_5646784685981491598_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFae8d4wyU2SUdorJfOsasDhX7kXuxAVuaFfuRe7EBW5hzIv_lA4uDHmIH_exQb8WbNNk_3ETIMD-PYbKh-PaIJ&_nc_ohc=P8JDnVwOZCYAX9lfkBy&_nc_ht=scontent.fhan2-5.fna&oh=03_AdQxGG0f7L07fPk1eU2WNoaOqlBqN7pUo46a2F0loSjroQ&oe=6631D5B2 ",,,,Đạt,Duyệt
2024/03/28,FP - ShowBeat,Phương Nga Lê,"🔥Quang Hải đã rước được nàng về dinh 😍 Ngắm cặp tân lang tân nương long lanh trên lễ đường.  Trong một diễn biến khác, CĐM quay xe khi thấy menu chính thức của đám cưới Quang Hải. Menu trước đó chỉ là đãi khách ngày dựng rạp.","https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/433475558_786137926372637_7060135088357953273_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGSLf-VyUfmHMdr88xjAzfZIPN5TFeoNFgg83lMV6g0WLmG7IccvHhfhU96Wy9xtNQ9oxvvfXBx9jgGgwXaL0bI&_nc_ohc=nVMR-9m9fMcAX9Cjdus&_nc_ht=scontent.fhan20-1.fna&oh=03_AdQUDcN9DBBPRUCxGPE3wAVnyxKgPg3ILp_5TJ0myueAVw&oe=6631F9C7 
https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/420523914_768442848777666_4246748424854326290_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEJf9-X_bLaYKi4RAPTPDH40pu50qEWHKHSm7nSoRYcoeHoJ6j76g1VqCJOAFJL6oi1OaA6ZQSB7vymQ9ikSc6K&_nc_ohc=BKQnplJNxiIAX-Q2gHL&_nc_ht=scontent.fhan2-5.fna&oh=03_AdS1eSv6Qe_jiB9isQn1KKAxh3Ufkha7PrgfTz4TsiRufg&oe=6631DB5E 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/432838435_714184257539550_3294061539371555319_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFuv7cuM4L_SrL86WciHhPVsJkg-6jskVGwmSD7qOyRUbpXMdcOG3g_oX2aITRjUmKKC201NXzxUIp11CoE0_p9&_nc_ohc=CkfGCKuwet0AX_WkbHw&_nc_ht=scontent.fhan20-1.fna&oh=03_AdS1fiMgjZLBUte3rEldcdLzwNMEZqdGPzXPulItwe7Wyg&oe=6631F1B7 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/434682017_1615164652646304_3491259202502672630_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGlNnm7uVvX-rSqM9K9worcCa5Z8pqU7A0JrlnympTsDeyRLzAuOlefZDi7eaCdtYDQK6lXMGBHkCTLDemojdEL&_nc_ohc=FHNr2QCK4F4AX8NP0Zs&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRaicVu1ICgGqDPP2RLRvgxWdxx2hGySSTqgqH_7ZzVGg&oe=6631F6EF ",,,,Bách,Duyệt
2024/03/28,FP - ShowBeat,Phương Nga Lê,🔥Menu tiệc hôm nay. Chúc quý khách ăn cưới online ngon miệng. Thiếu gà luộc với canh bóng 🐧,https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/433472209_912111643997464_8497469699253115193_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEiAVajKMngxvqs07baAf1TduHX68ILtgx24dfrwgu2DGUOvoXuMAXraLWZ1bZIyH6AkiM5YINmXaR0IxKXWmdN&_nc_ohc=UBw2HzaxldcAX-vpKHQ&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSi2nbCd3qh1jiMWn8d83KZzM_GgSG3QCKUz5ew9QpJ2Q&oe=6631D17F ,,,,Đạt,Duyệt
2024/03/28,FP - ShowBeat,Phương Nga Lê,🔥Nhà gái cũng đã sẵn sàng!!!  Cô dâu Chu Thanh Huyền với layout nhẹ nhàng nhưng vẫn rất xinh đẹp trong ngày trọng đại của mình😍,"https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/434052152_1802421250257626_1989208059448373299_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEVkWTuS6c-Eq4UWyMZAQP3aAzYFu-JGjxoDNgW74kaPIoOlnxG2-qECOJVlVT2WVwqwW3Irb0qjXGIgEg2fv3g&_nc_ohc=UO8Hy7Cc4W0AX95KcyK&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRl-QV7NFUIhN04_dSpO3rw_tadg0zbXde7BQ9V28WNCw&oe=6631E9EA 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/432857711_417052794356700_1213944095194814040_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHWd-FHR4CU3Q56HQVY3GzYcgXOb2ICpttyBc5vYgKm24nyHFJ94P2Hh90Gv-5GV23lFKjinpXM_5mntceZqd-W&_nc_ohc=CwUSCHL3I8AAX9Pwjb2&_nc_ht=scontent.fhan2-3.fna&oh=03_AdRWjV2RvE1CbcBEy_qJIjgcSIOzkcbD5Z8rwCy9fKx5Hg&oe=6631F709 
https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/432826876_1420052651990599_3450063454818964352_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEbCLml35cIz1ShPXn1GxEdX51DaCPgPHBfnUNoI-A8cP_fi6flNb5vuy-84LcboRWk8IVYGJ-OD0ahC-_qekbT&_nc_ohc=mSXOVvJewI4AX_fo37j&_nc_ht=scontent.fhan2-5.fna&oh=03_AdS1pS1-YZGpWfgTrucblLd9EXeyHx3Dbvo0qQ9RfEsYew&oe=6631DED1 
https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/432917936_1058830701846269_1875605312375028865_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH0NlWn2Q3tUb24FnqpdMmiTNR3UUVZX91M1HdRRVlf3fFzSnbRLnf35HU6xJKwmFYPhTkslgxA6E8m8E9GtODS&_nc_ohc=XbyHGfLdLXMAX-Q4gda&_nc_oc=AdiMQtiSjj1116lnaGSdlhH3RWUL092auNR-F8ih44bjOvSBimKj-M60EtXuX6AwGX0&_nc_ht=scontent.fhan2-5.fna&oh=03_AdT3OnV7Jhe_6x-FdPJOpBHy9ac2pXotanuBSaXOycNFdQ&oe=6631FDE4 ",,,,Đạt,Duyệt
2024/03/28,FP - ShowBeat,Phương Nga Lê,🔥Chú rể Quang Hải đã sẵn sàng cùng siêu xe 14 tỷ lên đường rước Chu Thanh Huyền về dinh,"https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/432750031_443497834767034_9220299670594346517_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG44-90mfRdyRp82GoGs8jLpcd0lEQf-eqlx3SURB_56nnYEO9MNooGl9tog4vQVjjfhyPIqMJvDJJqfqHCwREV&_nc_ohc=4iJItr2txq8AX8VxFKt&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQBe_B3FWyhOinshxcqAimVeV4LsHRvQ8uYSJxbQaQFNQ&oe=6631F501 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/433059262_680938794052083_3735128035513237296_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEplhHFnGZ9kazveFgBaXZVhO0gfve1WkOE7SB-97VaQ3yAey_VaNEASGvVMHp0RQI637f7_3P2WCzMetIvXbSm&_nc_ohc=dqltuJBx-xwAX9guWsK&_nc_ht=scontent.fhan20-1.fna&oh=03_AdRrJtNNqGGjJOyK-uBiQuyC3QvwXbB-FnHlXVyKI2oqSw&oe=6631F999 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/432928957_6597558850347510_6044534419516458104_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGH_7hkl6TOAbO24q58z7OGd3WHv3x3ZCJ3dYe_fHdkIsmnF8d8oVOdvGKcw3ak_HeSVk-7kqgqIyK8jF_6-ZZl&_nc_ohc=dXdjFNcswFEAX8k36Vw&_nc_oc=AdgWNsZCtEO6asZvFkHcy1YittH-qHtmohxVyrsvhWCdmDB0BmIrvAON6KjJCAgvZ0U&_nc_ht=scontent.fhan2-4.fna&oh=03_AdSDcWmszKbTBODlJQDVJ57kWSu020FU5f1ojgzXMV2P0w&oe=6631DBAD 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/432700604_952236276279041_8976314603210398059_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGZImYZogS0Sl4YS7NFnc1QQxEBZfV3nqFDEQFl9XeeoW1ooNvoiQkvicN7dkY3IaOSsUYMMIDOAPVjshLtcXyS&_nc_ohc=96M7IpHrkCIAX-xQXEP&_nc_oc=AdiNM7E9FV-qIFMtUD_knyktxx1CxShvOZSDPYW3SyoMmGV_yt6OUFeZ8FSlk_wFx_w&_nc_ht=scontent.fhan2-4.fna&oh=03_AdRcM_tqFLM_C516Cj318A-fsjUmclUOXfioGj8peI_0xw&oe=6631CDFC 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/432754440_728136439484918_2580399782493160346_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFAxwKj-kNqtgPdFyYWYmHvzYilB85MXk3NiKUHzkxeTQafM2WJDg7g7nKA6KL7FHw2AH0OkRzWOcWb89Yy6oYv&_nc_ohc=nLgWZmCfrTAAX8NJ8mX&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQKr6scIr3ph9-fb4kc2cPZszTME2J5W4w0DPpsUZ-H1Q&oe=6631CB4A ",,,,Bách,Duyệt
2024/03/27,FP - ShowBeat,Phương Nga Lê,🔥Rạp đám cưới Quang Hải và Chu Thanh Huyền đã sẵn sàng đón khách. Nay đi ngủ sớm mai còn đi ăn cưới online 🥰,"https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/431441126_391362937086453_7474300007906701948_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGhfiA-HBoMAI5jYFayTb6dxANcF_LUGnjEA1wX8tQaeBBLXp6a_b43TXO-F9P56jzL212gu5rBTnWtZoxfOmVr&_nc_ohc=UUCOKkYkeFoAX_dze6o&_nc_ht=scontent.fhan2-4.fna&oh=03_AdRMiCaRZgLyWD7eNftzIKv6_NPbu6DNTn_dgj0ygBw8gA&oe=6631FEBA 
https://scontent.fhan20-1.fna.fbcdn.net/v/t1.15752-9/433937316_1102441987672555_5748394544063458028_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGE9Rki8hJlDBJ5EbF2L7PjLKClLB4pr0YsoKUsHimvRiUftOV2qbHzqTIxA0PaMqmEBZVmSJ4519pUJMZd1kr9&_nc_ohc=4YcXFCo-QgAAX_6WbJt&_nc_ht=scontent.fhan20-1.fna&oh=03_AdSuykhKFY4nLz6wUSUN7g55E6nbfdncOrZOMyho9KoHkA&oe=6631FD20 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/434140756_955785899234650_8674875444446642289_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHAOQZ7TAiSgFBuFjPBlg8Omkv7PzF8nJqaS_s_MXycmgzZYEL_bFXBFDdqBHFO0xc38QQSduX5l8-BsCIFyU6N&_nc_ohc=IEENn9HgY6oAX-F8efE&_nc_ht=scontent.fhan2-4.fna&oh=03_AdQmpT7_DAJuzsytJzNH-jvcMRy0dcSJHkQBWLsxYaPROg&oe=6631E894 
https://scontent.fhan2-3.fna.fbcdn.net/v/t1.15752-9/432908470_461213352900692_2396915395504696455_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH4EcqStDyPMNQdnJT-18Mvb60aMGGfZpVvrRowYZ9mld1_X2umDQxigCSamY8jBB_3QuoiiI_LTL0T2LGXM3d6&_nc_ohc=23MR5Ss_sNcAX_qgY9n&_nc_ht=scontent.fhan2-3.fna&oh=03_AdTlwxAvKG3P9iXyXN4UOaIsH6wxTy2GAVQrRykZN0pMvg&oe=6631F77B 
https://scontent.fhan2-5.fna.fbcdn.net/v/t1.15752-9/432846370_959766415667867_6144633264603293942_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEqs_KPF6iMr7HJZ3h3gi0k3PA0whPcbI_c8DTCE9xsj1ci-pT79nJr1bJdpLxCuHwqn7Unqn_62hh3mC3ytq7v&_nc_ohc=7Z83o8GVRMgAX-7SJ8E&_nc_ht=scontent.fhan2-5.fna&oh=03_AdStBm_kSuZ_zpF37cljkvMVUSh1rH75u8S-rhCY1Nv3ew&oe=6631F9C6 
https://scontent.fhan2-4.fna.fbcdn.net/v/t1.15752-9/432835492_393723530191534_5593799541933531454_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeH7Ip5RlI9QGeyIR0BUxvLexlFR-Wp8B6fGUVH5anwHp2MaOfiy-VrVevGGgvsOWbxbUbcAodjNcOFumC0each3&_nc_ohc=-hM0K4_HixcAX9hBzX-&_nc_ht=scontent.fhan2-4.fna&oh=03_AdRgKNuDhWRr1GZW7DGFYCXnX_KiazfTAq2WhQJ-CP5Cvg&oe=6631EE00 ",,,,Bách,Duyệt
