time,page,sender_name,content,photos,,videos,link,kdv,
2024/03/27,What The Duck,Hồng Thư Thư,Cap: Bạn tốt,https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/434165663_721507796721001_6885044808332313145_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEyIvOTt67TlTkyp_6Pq4tucYnXiW3qJbRxideJbeoltJKr9FAmAgDWc-AbZfJy_xrvc74LAQS8QvFoWB0Jfp0w&_nc_ohc=wI-R4a8WjoYAX_kw6de&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQaSFHzr07fOlvEgqq-h53TP4f17pFcop9M1Ry33S8bjA&oe=662DDD27 ,,,,Đạt,Duyệt
2024/03/25,What The Duck,Hồng Thư Thư,Cap: Sao bạn kì thị người dễ thương,https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/433059269_7236613893091971_5262606186820516369_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEwTHhJt0UPRc_s-MhR1-9YVeArklDzuPBV4CuSUPO48FvN_U51c3Kn5obmH8oOZP9-F4Ur0yVymSSsGreVlU2B&_nc_ohc=ThOLLWTCbfoAX_7aui1&_nc_ht=scontent.fhan14-5.fna&oh=03_AdQZtGakaUh1heMpbpAINwFa48nKzFKJlRovKU7T5-2Vkg&oe=662DED38 ,,,,Đạt,Duyệt
2024/03/24,What The Duck,Hồng Thư Thư,Cap: Ngộ ha,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/434173851_379109675022646_7763531918741458437_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHltoZDYiOZfTVilGErIYg3OJSVl89hmK04lJWXz2GYrT_MuT8EbBH41qlhAykWIXnexcAW9ZVewYmRrWuc7IcG&_nc_ohc=HoRFySYx-sIAX89CiBS&_nc_ht=scontent.fhan14-3.fna&oh=03_AdRapxFh82XyO12EA-vLkWXDARks3spzmuuunuMKXrXSXA&oe=662DF19B ,,,,Bách,Duyệt
2024/03/23,What The Duck,Hồng Thư Thư,Cmt: Hẹn 20h30 tối nay tại khu vực của bạn - Đắc in your area,https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432590356_1553618892139503_5106722928715476739_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEYItpagzoqLNotJt0OTVhD8QY2gX-h0FbxBjaBf6HQVuhrCXyLr2bC0cdei4AvcROYOPA0v2ajH-rujqzYlYPB&_nc_ohc=csw575KOtQ8AX8d8RIT&_nc_ht=scontent.fhan14-5.fna&oh=03_AdSCcu8ze-2NmLofnj5xjJXgH_OfCqqMv_NUqL3mur76Ww&oe=662DC6EF ,,,,Bách,Duyệt
2024/03/23,What The Duck,Hồng Thư Thư,Cap: Một cây làm chẳng nên non,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/432728636_1160780581583701_8814827677277131403_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF2oVYybTbd3NvcXSLhXOyyyRbsYGM-jGvJFuxgYz6Maw0vg64Tfn1RoUODosWrMImx4EDWKW6yB4wIC78Tkhtk&_nc_ohc=bCk0NLB7Ca8AX_SFoEe&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSmsL17D-6qWvuzu2nRA_T6OJfUQ0svZA_PrMISAo8pDg&oe=662DDD7D ,,,,Bách,Duyệt
2024/03/22,What The Duck,Hồng Thư Thư,Cap: Quá là kì thú,https://scontent.fhan14-5.fna.fbcdn.net/v/t1.15752-9/432997814_1180892493289332_9166104064441439795_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGZI3PRLfKFb2t66Pp6zbS8TAE-58hBNQRMAT7nyEE1BEq91qNjD8JdZJWLEGizt6yZjQFiRNsehGbE9xjFixSz&_nc_ohc=GIOrqbn8JpUAX8sWBne&_nc_ht=scontent.fhan14-5.fna&oh=03_AdTUN73pNoMK8uyD4tTMO6yNNft9R7yg2IRX04BCnGSBUg&oe=662DE080 ,,,,Đạt,Duyệt
2024/03/21,What The Duck,Hồng Thư Thư,Bị ma che rồi :<,https://scontent.fhan14-1.fna.fbcdn.net/v/t1.15752-9/432677841_1649102732291281_7019041783407841490_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGbSWFjGpFGwbRa6aRml0upLnNMC9sMbBsuc0wL2wxsG7bKi6o5GkbLQy2nb3R1F8rznjyWXCfePtfZww6tSz8J&_nc_ohc=3wlAF2Na5EYAX9EUXOw&_nc_ht=scontent.fhan14-1.fna&oh=03_AdTvvTl5fsfRyhxwFaQPnSqDk_t9-388_aYuyYddkc59qQ&oe=662DF46B ,,,,Bách,Duyệt
2024/03/21,What The Duck,Hồng Thư Thư,Cap: Kết quả dưới cmt,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/432574417_1568190110636174_363150492919330902_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHk6JNxnKMIrvWjblOkxZod2hIvChb8UpLaEi8KFvxSksfdKCCzgP0zXdAyYkr5NUtaX-xdivvEQPKBgUh2EZdK&_nc_ohc=gTJhShD3BpwAX8mVR-q&_nc_oc=AdhzKLS3Pk3eHXusSyH4GnJM9MxFhQqWy6C4Z_SO6SrLesBUpzUnwd-QDirdc0xp87A&_nc_ht=scontent.fhan14-3.fna&oh=03_AdSHmrtxBLcYbAoSbSAY-r8pNZcKHf3iKE7PvtAHLMsiMA&oe=662DEE0B ,,,,Bách,Duyệt
2024/03/20,What The Duck,Hồng Thư Thư,Cap: Tao con vịt nhe,https://scontent.fhan14-3.fna.fbcdn.net/v/t1.15752-9/433187643_1365334627515220_5799916974175473078_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFpwFEuW1XfJWfmMGgxOy_Dc2Me707bE2ZzYx7vTtsTZr82BxqCvZabcp4MO0WbS-IpifHlhrkvjWyvWY4U__AW&_nc_ohc=ok4_8gpcYFYAX82buv1&_nc_ht=scontent.fhan14-3.fna&oh=03_AdR3udSIjX86MPNZemGk2w8lmHECZd4usGNTmy7qQFYHeA&oe=662DF06E ,,,,Đạt,Duyệt
2024/03/19,What The Duck,Hồng Thư Thư,Cap: Cà phê mèo,https://scontent.fhan14-4.fna.fbcdn.net/v/t1.15752-9/432941981_808692131100031_8629853853697712547_n.jpg?stp=dst-jpg_p1080x2048&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHMZmn199bbH4qt58qyd0UU28PgHBeBEXTbw-AcF4ERdLrQp1Db5cdlip0sZV8e69Jeaah4MQj6kQylzyAWGlh-&_nc_ohc=h3OZ8emsnZAAX-zMmWP&_nc_ht=scontent.fhan14-4.fna&oh=03_AdTZcd1QH16IEMtHK6wIGJgDLz1MOyiJEKPx0coj5rOL_Q&oe=662DD0DC ,,,,Đạt,Duyệt
